Time (s)	Fx	Fy	Fz	Mx	My	Mz	COPx	COPy
0.000000	1.955632	1.532987	528.551038	14.069656	26.402707	0.077492	-0.052021	0.025245
0.010000	1.785359	1.253576	535.673141	13.519570	26.732878	0.046233	-0.051971	0.023935
0.020000	2.031307	1.414575	534.593459	14.223407	26.615656	0.025904	-0.051848	0.025232
0.030000	1.819678	1.643191	531.035002	13.931417	26.515724	0.050148	-0.051999	0.024880
0.040000	1.895441	1.964864	533.847723	13.849289	26.360796	0.045744	-0.051423	0.024603
0.050000	2.200257	1.727800	530.618535	14.341144	26.385033	0.014374	-0.051784	0.025632
0.060000	2.098269	1.668606	531.034106	13.632464	26.250867	-0.009182	-0.051480	0.024346
0.070000	2.047320	1.812673	533.845787	13.790516	26.070049	-0.029287	-0.050856	0.024499
0.080000	2.446204	1.770255	529.292291	13.743355	25.860298	-0.014154	-0.050881	0.024625
0.090000	2.480524	1.575537	534.923684	13.288789	26.100776	-0.011310	-0.050813	0.023560
0.100000	2.658274	1.651879	529.208178	14.195786	25.920252	-0.045223	-0.051007	0.025440
0.110000	2.513784	1.355525	533.347525	14.242683	26.092515	-0.060459	-0.050947	0.025326
0.120000	2.530415	1.330026	531.694241	12.986414	25.735320	-0.063824	-0.050406	0.023164
0.130000	2.479994	1.423167	529.292035	13.760067	25.822168	-0.038759	-0.050806	0.024655
0.140000	2.555934	1.507992	532.435878	14.251950	25.945490	-0.077853	-0.050747	0.025385
0.150000	2.589812	1.389340	530.452113	13.529828	25.906995	-0.066955	-0.050861	0.024189
0.160000	2.393490	1.558774	531.442625	13.786102	25.719056	-0.122417	-0.050398	0.024602
0.170000	2.615243	1.719629	529.787856	14.142759	25.948062	-0.069377	-0.051006	0.025317
0.180000	2.104952	1.236969	531.696665	13.090209	26.072469	-0.122739	-0.051066	0.023349
0.190000	1.842639	1.677174	536.329091	13.399179	25.981115	-0.069400	-0.050448	0.023693
0.200000	2.156519	1.482469	528.713870	14.038445	26.114616	-0.079671	-0.051437	0.025181
0.210000	1.816502	1.287860	532.024364	13.716488	25.939631	-0.131617	-0.050775	0.024451
0.220000	1.748305	1.245405	529.708353	13.387883	25.936024	-0.124937	-0.050990	0.023969
0.230000	1.527523	1.270844	530.949060	13.767003	26.034946	-0.135231	-0.051065	0.024590
0.240000	1.604521	1.482481	532.025578	13.905537	26.207688	-0.098710	-0.051299	0.024788
0.250000	1.731321	1.296211	528.964935	13.401960	26.143767	-0.124083	-0.051470	0.024028
0.260000	1.774000	1.406247	530.453199	13.826787	26.165914	-0.104734	-0.051370	0.024720
