Time (s)	Fx	Fy	Fz	Mx	My	Mz	COPx	COPy
0.000000	2.554241	0.487846	437.751231	2.475894	2.403650	-0.153391	-0.005718	0.005364
0.010000	2.452695	0.123875	436.676330	2.410738	2.488042	-0.151937	-0.005934	0.005236
0.020000	2.351149	0.462491	437.916950	2.013582	2.215109	-0.137340	-0.005268	0.004361
0.030000	2.291487	0.115355	436.922973	2.195921	2.172411	-0.139923	-0.005178	0.004766
0.040000	2.394180	0.216944	436.096227	2.025593	2.216978	-0.109080	-0.005294	0.004405
0.050000	2.343054	0.377834	441.723583	2.281993	2.294625	-0.121223	-0.005410	0.004899
0.060000	2.428058	0.284633	434.605411	2.088756	2.099253	-0.105548	-0.005030	0.004558
0.070000	2.267027	0.149194	441.809695	1.515094	2.360392	-0.100143	-0.005564	0.003252
0.080000	2.529605	0.005283	435.848222	1.886797	2.193646	-0.124138	-0.005241	0.004106
0.090000	2.350796	-0.197930	437.506691	1.532351	2.423516	-0.140639	-0.005769	0.003322
0.100000	2.274415	0.047606	438.912734	1.636012	2.390324	-0.142477	-0.005671	0.003535
0.110000	2.291046	-0.197930	436.347975	1.730976	2.519931	-0.151827	-0.006014	0.003762
0.120000	2.002419	0.149266	436.761380	1.399725	2.317392	-0.166548	-0.005526	0.003039
0.130000	1.815075	0.030614	435.604513	1.405653	2.526749	-0.165933	-0.006041	0.003060
0.140000	1.645154	0.072985	435.770977	1.370403	2.637836	-0.176994	-0.006304	0.002982
0.150000	1.645242	0.183081	438.336439	1.480586	2.687827	-0.179645	-0.006386	0.003203
0.160000	1.585669	-0.155571	435.689650	1.861372	3.042262	-0.181856	-0.007272	0.004052
0.170000	1.245563	0.073105	439.660706	1.783564	2.827768	-0.216493	-0.006698	0.003847
0.180000	1.076261	0.132239	435.606897	1.665398	2.948298	-0.175408	-0.007048	0.003626
0.190000	0.863573	-0.062419	437.927116	1.509145	3.216337	-0.202530	-0.007649	0.003268
0.200000	0.617273	-0.011588	440.079065	1.407116	3.184876	-0.211144	-0.007537	0.003032
0.210000	0.744956	-0.181095	436.606037	1.018712	3.349384	-0.168183	-0.007989	0.002213
0.220000	1.008769	0.157666	441.899513	1.928332	3.422478	-0.162965	-0.008066	0.004138
0.230000	0.889886	0.157690	439.169946	1.150964	3.227572	-0.169180	-0.007653	0.002485
0.240000	1.127122	-0.037136	434.864475	1.624296	3.198818	-0.169705	-0.007660	0.003542
0.250000	0.566941	0.471083	446.199181	2.342752	3.143694	-0.204300	-0.007337	0.004979
0.260000	0.837790	0.284754	434.447605	1.658337	2.837351	-0.225056	-0.006801	0.003620
0.270000	0.718731	0.267822	440.655979	1.575545	2.981317	-0.232617	-0.007046	0.003391
0.280000	0.759998	0.183273	438.419236	2.192315	2.973186	-0.296132	-0.007062	0.004742
0.290000	0.871227	0.377834	433.785174	1.620840	2.779289	-0.237658	-0.006672	0.003544
0.300000	0.761321	0.513382	439.247301	1.679750	2.814391	-0.234779	-0.006673	0.003627
0.310000	0.871492	0.420169	434.445798	1.982846	2.759558	-0.227545	-0.006615	0.004328
0.320000	1.091920	0.547209	435.437094	2.009706	2.551747	-0.248488	-0.006103	0.004377
0.330000	0.845796	0.293333	437.592976	1.359652	2.758560	-0.263583	-0.006565	0.002947
0.340000	1.185372	0.250927	438.914925	1.891143	2.735350	-0.251362	-0.006490	0.004086
0.350000	1.321326	0.344068	438.912607	1.820364	2.424074	-0.250176	-0.005752	0.003933
0.360000	1.330744	0.343983	437.341676	1.671586	2.553466	-0.200541	-0.006080	0.003625
0.370000	1.560062	0.293153	436.680073	1.442504	2.504728	-0.192781	-0.005973	0.003133
0.380000	1.381606	0.208580	437.674326	1.148434	2.516133	-0.214228	-0.005987	0.002488
0.390000	1.381958	0.250807	436.099142	1.758974	2.446542	-0.181311	-0.005842	0.003825
0.400000	1.458515	0.064633	437.423069	1.900086	2.490137	-0.188671	-0.005928	0.004120
0.410000	1.458339	0.039134	432.290764	1.935215	2.330587	-0.178173	-0.005614	0.004246
0.420000	1.611982	0.369254	438.745635	2.150079	2.418239	-0.137161	-0.005740	0.004648
0.430000	1.620782	0.343839	435.353214	1.903541	2.388426	-0.123140	-0.005713	0.004147
0.440000	1.807333	-0.172599	434.528272	1.432175	2.476564	-0.132073	-0.005935	0.003126
0.450000	-1.171148	-1.205151	447.945072	-0.174649	2.771685	-0.111917	-0.006444	-0.000370
0.460000	1.518971	0.157546	434.031179	1.018896	2.244221	-0.116161	-0.005385	0.002226
0.470000	1.459574	0.149134	439.575654	1.399353	2.351247	-0.122660	-0.005570	0.003019
0.480000	1.773719	0.216812	437.922352	1.065239	2.465449	-0.115785	-0.005863	0.002307
0.490000	1.620341	0.216824	435.766575	1.462740	2.120200	-0.137461	-0.005067	0.003183
0.500000	1.900785	0.191481	436.345786	1.745152	2.262928	-0.135832	-0.005401	0.003793
0.510000	1.603358	0.250891	434.109170	1.858364	2.039875	-0.170542	-0.004894	0.004060
0.520000	2.028115	0.216884	437.010916	1.148168	2.368288	-0.140383	-0.005644	0.002492
0.530000	1.798268	-0.020024	437.671412	1.324893	2.238192	-0.186250	-0.005326	0.002871
0.540000	1.729982	-0.257172	436.846281	1.237197	2.493001	-0.183539	-0.005943	0.002686
0.550000	1.671644	0.056065	436.017345	1.486998	2.450453	-0.139568	-0.005853	0.003234
0.560000	1.450244	-0.070962	436.515355	1.360528	2.578959	-0.158337	-0.006153	0.002956
0.570000	1.551702	0.081456	436.266627	1.535278	2.613635	-0.179486	-0.006239	0.003337
0.580000	1.458074	0.013827	437.674052	1.687195	2.758349	-0.204588	-0.006563	0.003656
0.590000	1.279883	0.039158	435.690967	0.892095	2.749335	-0.191185	-0.006572	0.001942
0.600000	1.194261	-0.138508	439.580865	1.545584	3.073523	-0.237502	-0.007281	0.003335
0.610000	1.033582	-0.020144	435.279157	0.812171	2.965933	-0.187079	-0.007096	0.001770
0.620000	0.957025	-0.087810	436.438024	1.378103	3.240526	-0.201906	-0.007732	0.002995
0.630000	0.650974	0.073069	438.590188	1.336679	3.305669	-0.220635	-0.007849	0.002890
0.640000	0.744603	-0.138760	434.290327	0.718788	3.448516	-0.182970	-0.008269	0.001570
0.650000	0.634521	0.326980	439.666111	1.704978	3.493786	-0.187551	-0.008275	0.003678
0.660000	0.523821	-0.257148	434.371849	1.336803	3.567150	-0.206230	-0.008552	0.002919
0.670000	0.607678	-0.147064	438.013975	1.264849	3.631161	-0.250926	-0.008633	0.002739
0.680000	0.608119	-0.104777	435.364719	1.296201	3.531598	-0.226397	-0.008448	0.002824
0.690000	0.710636	0.047582	435.284986	1.073771	3.824506	-0.197199	-0.009150	0.002339
0.700000	0.438905	0.089928	438.348711	1.154095	4.060123	-0.200667	-0.009646	0.002497
0.710000	0.208617	-0.274127	434.956034	1.122573	4.058525	-0.238972	-0.009717	0.002448
0.720000	0.133383	0.064513	440.254823	1.006303	4.293874	-0.192160	-0.010157	0.002168
0.730000	0.030778	-0.087786	439.180049	1.030470	4.417881	-0.235444	-0.010476	0.002225
0.740000	0.081728	0.123803	438.850355	0.821612	4.519646	-0.223942	-0.010725	0.001776
0.750000	0.429575	0.318496	438.186351	1.441307	4.576076	-0.229107	-0.010876	0.003119
0.760000	0.012913	0.140843	434.957356	1.930042	4.625395	-0.276125	-0.011074	0.004208
0.770000	-0.011989	0.216992	438.851079	1.081941	4.733703	-0.246174	-0.011233	0.002338
0.780000	-0.208222	-0.003081	440.008670	1.754339	4.903309	-0.291350	-0.011605	0.003781
0.790000	-0.267001	0.047618	438.935937	0.874924	4.890282	-0.248817	-0.011602	0.001890
0.800000	-0.054755	0.166234	436.947372	1.961587	5.138893	-0.264804	-0.012248	0.004258
0.810000	-0.428651	-0.155547	436.288405	1.315363	5.180253	-0.266084	-0.012365	0.002859
0.820000	-0.444663	0.225391	437.115047	1.429203	5.139942	-0.221193	-0.012246	0.003101
0.830000	-0.513037	0.123851	437.942984	1.533359	5.216187	-0.247914	-0.012404	0.003321
0.840000	-0.580617	0.123815	435.459680	1.533782	5.133166	-0.228555	-0.012276	0.003340
0.850000	-0.104911	0.140650	440.262907	1.830213	5.712811	-0.203108	-0.013513	0.003942
0.860000	-0.801223	0.030650	438.444181	1.107633	5.579700	-0.215965	-0.013253	0.002396
0.870000	-0.622943	-0.079350	439.024158	1.592818	5.896291	-0.228352	-0.013986	0.003441
0.880000	-0.792334	0.208412	435.630440	1.562953	5.798365	-0.195933	-0.013861	0.003403
0.890000	-1.139652	0.386030	440.021980	0.776086	6.089925	-0.133148	-0.014413	0.001673
