Time (s)	Fx	Fy	Fz	Mx	My	Mz	COPx	COPy
0.000000	4.383019	1.576113	768.255351	-7.505723	34.799230	-0.312569	-0.047172	-0.009265
0.010000	4.519062	1.990819	769.661287	-7.145291	34.875561	-0.265948	-0.047189	-0.008804
0.020000	4.459841	1.990831	767.593900	-7.194706	35.061212	-0.258652	-0.047568	-0.008889
0.030000	4.111023	1.669146	769.002812	-7.063552	35.352528	-0.297449	-0.047875	-0.008711
0.040000	4.178868	2.287149	769.830752	-6.994240	35.475176	-0.272190	-0.047989	-0.008616
0.050000	3.856540	2.261601	767.931466	-7.141826	35.946208	-0.231060	-0.048747	-0.008820
0.060000	3.609357	2.642684	766.688042	-6.779572	35.884721	-0.266036	-0.048742	-0.008386
0.070000	3.115520	2.541036	765.698193	-6.774668	36.297980	-0.306570	-0.049368	-0.008391
0.080000	2.468835	2.557871	766.449544	-7.222512	36.912597	-0.335015	-0.050154	-0.008937
0.090000	1.823208	2.904947	771.170486	-6.958747	37.527920	-0.317468	-0.050678	-0.008558
0.100000	1.074623	2.650808	768.280074	-6.797322	38.375722	-0.343469	-0.052018	-0.008391
0.110000	0.564068	2.811710	770.844156	-6.127132	38.520592	-0.380716	-0.052041	-0.007538
0.120000	0.588969	2.692998	768.449074	-6.303408	39.107610	-0.374178	-0.052998	-0.007779
0.130000	0.122504	2.828389	768.038283	-6.889044	39.194312	-0.331310	-0.053144	-0.008507
0.140000	1.727815	4.428318	793.033517	-6.638574	39.731290	-0.231198	-0.052174	-0.007939
0.150000	0.275000	2.836801	766.385324	-6.459119	39.718086	-0.333960	-0.053971	-0.007993
0.160000	0.105345	3.048498	770.360950	-6.999536	39.889142	-0.323933	-0.053923	-0.008617
0.170000	0.122681	3.099184	769.368676	-6.902563	40.048809	-0.288565	-0.054209	-0.008509
0.180000	-0.201147	3.006067	769.120249	-6.385210	40.281719	-0.335484	-0.054542	-0.007873
0.190000	-0.387698	3.115983	769.204938	-6.837580	40.342331	-0.294215	-0.054618	-0.008430
0.200000	-1.347558	2.286452	769.454240	-6.483245	40.564468	-0.362477	-0.054901	-0.007991
0.210000	-0.847127	2.489485	770.447302	-6.625596	40.529016	-0.352678	-0.054782	-0.008156
0.220000	-0.956768	2.599328	768.050113	-7.011360	40.732075	-0.279823	-0.055229	-0.008657
0.230000	-1.185997	2.582421	768.708527	-6.679798	40.423298	-0.283071	-0.054763	-0.008241
