Time (s)	Fx	Fy	Fz	Mx	My	Mz	COPx	COPy
0.000000	2.513154	1.128760	579.526990	1.386071	15.758015	-0.293304	-0.028317	0.002268
0.010000	2.547297	0.705366	582.177454	0.578771	15.620663	-0.283705	-0.027942	0.000943
0.020000	2.819822	0.671383	582.425014	0.530508	15.544465	-0.233547	-0.027794	0.000864
0.030000	2.752330	0.705282	579.030021	0.214713	15.173369	-0.223615	-0.027290	0.000352
0.040000	2.845959	0.552803	580.024996	-0.109054	15.257361	-0.204338	-0.027394	-0.000178
0.050000	2.641895	0.214187	577.376378	-0.257950	15.128054	-0.226653	-0.027286	-0.000424
0.060000	2.599129	0.324235	578.699157	-0.429198	14.907736	-0.235434	-0.026827	-0.000703
0.070000	2.786914	0.357906	577.792315	-0.645795	15.264228	-0.165349	-0.027512	-0.001060
0.080000	2.472857	0.374921	581.101812	-0.614097	15.170133	-0.173982	-0.027187	-0.001002
0.090000	3.067358	0.290072	577.877343	-1.122513	15.347154	-0.142795	-0.027657	-0.001842
0.100000	2.812786	0.180060	576.055559	-0.455040	15.513643	-0.142798	-0.028046	-0.000749
0.110000	2.761837	0.324007	580.027423	-0.595026	15.392497	-0.144618	-0.027636	-0.000973
0.120000	2.167424	0.163141	580.195246	-0.852010	15.522808	-0.146914	-0.027862	-0.001393
0.130000	2.082332	0.408592	576.386979	-0.267729	15.657555	-0.135559	-0.028290	-0.000441
0.140000	1.853455	0.416992	582.185454	-0.930747	16.004610	-0.110852	-0.028629	-0.001516
0.150000	1.317822	0.289976	579.622183	-1.172494	16.147395	-0.135036	-0.029012	-0.001918
0.160000	1.164797	0.543995	581.275318	-0.291389	16.319243	-0.140670	-0.029237	-0.000475
0.170000	0.672019	0.442371	577.717645	-0.798978	16.165939	-0.148609	-0.029141	-0.001312
0.180000	0.163229	0.527028	581.694315	-1.167838	16.539274	-0.118688	-0.029610	-0.001904
0.190000	0.188042	0.645440	580.702358	-1.471217	16.540274	-0.122461	-0.029662	-0.002403
0.200000	-0.143704	0.543935	577.388272	-0.704784	16.424857	-0.161511	-0.029624	-0.001158
0.210000	0.127850	0.738677	580.535812	-1.211090	16.557370	-0.167711	-0.029702	-0.001978
0.220000	-0.109297	0.586306	581.280953	-1.319609	16.516204	-0.150303	-0.029590	-0.002153
0.230000	0.162346	0.493177	577.389716	-1.562948	16.220895	-0.155966	-0.029257	-0.002567
0.240000	0.212767	0.467786	578.297941	-1.313677	16.074505	-0.178236	-0.028947	-0.002154
0.250000	0.271723	0.027653	578.462875	-1.027855	16.137026	-0.223777	-0.029051	-0.001685
0.260000	0.178359	0.222383	581.689490	-1.583934	15.765386	-0.219770	-0.028225	-0.002582
0.270000	0.415595	-0.251745	578.213401	-1.858514	15.597508	-0.245890	-0.028092	-0.003048
0.280000	0.543807	-0.209411	578.132475	-2.605317	15.494291	-0.214339	-0.027910	-0.004274
0.290000	0.611916	-0.319483	579.371034	-1.855496	15.487907	-0.207002	-0.027839	-0.003037
0.300000	0.339479	-0.742696	580.364879	-2.695858	15.156941	-0.257554	-0.027197	-0.004405
0.310000	0.593962	-0.776547	580.776201	-2.644712	14.881202	-0.271100	-0.026684	-0.004319
0.320000	0.892007	-0.954333	582.514914	-2.686009	14.965200	-0.243639	-0.026754	-0.004373
0.330000	1.010625	-1.098220	578.208783	-2.976482	14.493630	-0.262941	-0.026104	-0.004882
0.340000	0.874935	-1.106680	582.676039	-3.241579	14.149920	-0.256306	-0.025290	-0.005276
0.350000	1.443917	-1.487715	577.046770	-2.990865	14.077324	-0.253067	-0.025405	-0.004915
0.360000	1.138925	-1.369087	582.178137	-3.758727	13.765245	-0.240299	-0.024623	-0.006123
0.370000	1.502785	-1.843202	577.871135	-3.569901	13.404824	-0.295682	-0.024157	-0.005859
0.380000	1.561829	-2.224129	578.863177	-3.287056	13.407860	-0.324680	-0.024121	-0.005385
0.390000	1.333923	-2.384996	585.074372	-4.984542	13.109183	-0.273578	-0.023334	-0.008080
0.400000	2.080920	-2.554394	577.291965	-4.081761	13.184078	-0.277032	-0.023783	-0.006705
0.410000	1.996357	-2.444178	584.076530	-4.055059	13.002091	-0.286073	-0.023182	-0.006584
0.420000	2.157565	-2.562758	577.536822	-4.495244	12.562020	-0.285001	-0.022651	-0.007382
0.430000	2.183437	-2.715237	577.704560	-5.315471	12.463833	-0.259504	-0.022468	-0.008726
0.440000	2.454992	-2.554334	580.349309	-4.794040	12.278642	-0.270627	-0.022033	-0.007834
0.450000	2.369635	-2.943673	577.946739	-4.626020	12.006097	-0.308045	-0.021634	-0.007591
0.460000	2.658790	-2.621916	580.511904	-4.360652	12.129652	-0.295271	-0.021760	-0.007124
0.470000	2.930257	-2.672830	578.610616	-5.168834	12.033051	-0.291575	-0.021657	-0.008472
0.480000	2.777144	-2.681194	579.515249	-3.993649	11.857205	-0.311761	-0.021308	-0.006536
0.490000	3.040780	-2.537391	577.115611	-4.744778	11.541611	-0.278188	-0.020827	-0.007797
0.500000	2.786385	-2.545862	574.797710	-4.413112	11.608675	-0.261128	-0.021032	-0.007281
0.510000	2.420496	-2.638859	582.494113	-4.393202	11.582080	-0.309826	-0.020707	-0.007153
0.520000	2.438979	-2.351145	576.123274	-4.853086	11.592145	-0.228568	-0.020954	-0.007989
0.530000	2.022405	-2.816861	577.783336	-5.194715	11.989290	-0.239737	-0.021610	-0.008527
0.540000	1.554705	-3.138510	568.263660	-4.896686	11.796980	-0.276238	-0.021619	-0.008172
0.550000	1.563858	-2.545886	578.275434	-4.578915	11.689341	-0.239649	-0.021051	-0.007509
0.560000	1.920771	-2.368209	577.283265	-4.256154	11.964589	-0.211041	-0.021584	-0.006992
0.570000	1.700518	-1.987077	580.509711	-3.960377	11.944474	-0.209420	-0.021428	-0.006470
0.580000	1.674646	-2.063299	578.026090	-3.459841	12.062202	-0.220410	-0.021732	-0.005677
0.590000	1.785787	-1.631482	581.007462	-4.010301	12.047804	-0.195210	-0.021594	-0.006546
0.600000	1.547405	-1.411325	580.175827	-2.928528	12.036476	-0.218358	-0.021605	-0.004787
0.610000	1.436440	-1.199556	583.071468	-3.286452	11.723435	-0.256799	-0.020939	-0.005345
0.620000	1.640503	-1.157102	581.827403	-2.907509	11.544363	-0.266623	-0.020663	-0.004739
0.630000	2.005422	-1.097908	580.087818	-2.198361	11.671008	-0.262093	-0.020952	-0.003594
0.640000	1.487919	-1.190952	573.218457	-2.805210	11.297612	-0.258287	-0.020525	-0.004641
0.650000	1.895693	-0.632252	578.347592	-2.402331	11.258199	-0.233957	-0.020272	-0.003939
0.660000	2.099580	-0.158040	582.893753	-1.482299	10.980585	-0.240618	-0.019618	-0.002412
0.670000	2.363834	0.146606	582.564079	-1.728517	11.052763	-0.176582	-0.019758	-0.002814
0.680000	2.557685	0.104367	578.835670	-0.716320	10.972366	-0.244845	-0.019741	-0.001174
0.690000	2.379670	0.764837	581.650090	-1.377143	10.725590	-0.247294	-0.019203	-0.002245
0.700000	1.885216	0.883501	578.833179	-1.150717	10.403584	-0.343285	-0.018717	-0.001885
0.710000	1.740550	1.383031	581.564742	-0.728145	10.665166	-0.353145	-0.019098	-0.001187
0.720000	1.577489	1.552562	580.320019	-0.123725	10.508293	-0.451521	-0.018857	-0.000202
0.730000	1.484214	1.696389	581.316035	-0.196747	10.821660	-0.427845	-0.019386	-0.000321
0.740000	6.739592	6.157751	650.165003	0.572038	10.784216	-0.367674	-0.017274	0.000834
0.750000	1.424640	1.434030	578.995771	-0.051361	10.480822	-0.451683	-0.018851	-0.000084
0.760000	1.688453	1.569469	578.495723	0.173704	10.175717	-0.424994	-0.018318	0.000285
0.770000	1.832767	1.433970	577.417887	0.395622	10.013654	-0.420546	-0.018060	0.000650
0.780000	1.841479	1.129096	577.418950	0.244758	10.073639	-0.399568	-0.018168	0.000402
0.790000	2.080655	1.137520	580.729316	0.111638	10.005955	-0.338328	-0.017943	0.000182
0.800000	2.064290	0.883489	580.067227	0.454883	10.164083	-0.307522	-0.018248	0.000744
0.810000	2.089809	1.315318	580.228843	0.599548	9.748229	-0.311636	-0.017496	0.000980
0.820000	2.175166	1.188326	580.145769	0.522980	9.662878	-0.296127	-0.017345	0.000855
0.830000	2.557862	0.891840	578.246820	0.057760	10.008620	-0.248288	-0.018025	0.000095
0.840000	2.549591	1.086582	581.720612	0.445105	9.929236	-0.240055	-0.017775	0.000726
0.850000	2.430885	0.993417	580.312784	0.433231	9.794249	-0.228249	-0.017576	0.000708
0.860000	2.481481	0.942694	578.406396	0.617775	9.528403	-0.254464	-0.017156	0.001013
0.870000	2.193914	0.900312	580.063205	0.156280	9.494806	-0.204240	-0.017046	0.000256
0.880000	2.211073	0.925667	577.827888	0.535890	9.584886	-0.188292	-0.017274	0.000880
0.890000	2.117004	0.807207	580.061419	0.160647	9.272646	-0.227954	-0.016647	0.000263
0.900000	2.202361	0.476978	580.227182	0.441258	9.435731	-0.204008	-0.016935	0.000721
0.910000	2.185201	0.349975	580.476292	0.166009	9.405076	-0.210928	-0.016873	0.000271
0.920000	2.440920	0.307520	577.578775	-0.146032	9.148806	-0.153974	-0.016496	-0.000240
0.930000	2.261670	0.002899	580.223865	1.059889	9.279721	-0.214700	-0.016655	0.001732
0.940000	2.449544	0.053621	581.962982	0.378524	9.139904	-0.163139	-0.016355	0.000617
0.950000	2.321332	-0.081782	578.981203	0.650273	8.934787	-0.204884	-0.016071	0.001065
0.960000	2.508853	0.239854	581.549257	0.287045	9.092961	-0.163464	-0.016283	0.000468
0.970000	2.763072	0.053621	579.316637	0.048170	9.214069	-0.189569	-0.016564	0.000079
0.980000	2.805398	0.273729	578.238272	0.583773	9.166461	-0.188540	-0.016509	0.000957
0.990000	2.720658	0.637917	581.796495	0.317692	8.973981	-0.204843	-0.016063	0.000518
1.000000	2.643572	0.485522	579.397498	0.176323	9.039539	-0.231357	-0.016247	0.000289
1.010000	2.711240	0.764969	577.654407	0.775251	8.695161	-0.247916	-0.015676	0.001273
