Time (s)	Fx	Fy	Fz	Mx	My	Mz	COPx	COPy
0.000000	4.988265	0.507547	722.796766	-4.338360	40.999035	-0.567128	-0.059071	-0.005692
0.010000	4.301018	-0.694475	691.094536	-3.233489	40.714219	-0.627227	-0.061352	-0.004437
0.020000	5.685194	0.600952	725.686922	-3.498775	40.546080	-0.582998	-0.058186	-0.004572
0.030000	6.195573	0.854911	722.623113	-3.361477	40.401351	-0.533020	-0.058224	-0.004412
0.040000	5.898146	0.854935	720.884398	-3.013429	40.416615	-0.541793	-0.058386	-0.003964
0.050000	5.592272	0.973455	722.787894	-3.068940	40.372305	-0.541342	-0.058169	-0.004027
0.060000	4.641741	0.677125	713.684877	-3.185876	40.325627	-0.530759	-0.058843	-0.004234
0.070000	4.785878	1.202071	723.118141	-2.947406	40.273996	-0.520308	-0.058001	-0.003866
0.080000	4.472086	1.430772	723.200807	-2.941646	40.229061	-0.512291	-0.057929	-0.003858
0.090000	4.828468	1.591626	721.130273	-2.965645	40.037353	-0.515579	-0.057819	-0.003900
0.100000	5.160479	1.803287	725.682748	-2.628645	40.282206	-0.472710	-0.057807	-0.003435
0.110000	3.334210	-0.084500	689.598265	-2.863777	39.792955	-0.612424	-0.060093	-0.003938
0.120000	5.304792	1.947222	722.202197	-2.039334	39.971021	-0.465808	-0.057637	-0.002678
0.130000	4.991000	1.676307	721.708118	-2.654817	39.935785	-0.467634	-0.057626	-0.003489
0.140000	5.135313	1.710086	719.971466	-2.540249	40.151069	-0.452018	-0.058076	-0.003346
0.150000	5.050838	2.141999	721.871626	-2.379301	39.819538	-0.437461	-0.057445	-0.003126
0.160000	7.199523	3.979052	756.296639	-1.512464	40.046007	-0.323981	-0.055142	-0.001897
0.170000	5.713536	2.040363	725.758013	-1.927851	39.603439	-0.420755	-0.056827	-0.002519
0.180000	5.748385	1.862625	721.786166	-2.712871	39.266696	-0.410369	-0.056654	-0.003565
0.190000	5.706324	2.006608	721.369041	-2.272973	39.056163	-0.395264	-0.056383	-0.002988
0.200000	5.758244	2.048847	722.526845	-1.646173	39.237634	-0.335271	-0.056554	-0.002161
0.210000	5.528839	2.125044	720.458032	-2.063338	39.057487	-0.340100	-0.056456	-0.002716
0.220000	5.316151	2.285814	725.425229	-2.402587	39.087454	-0.335803	-0.056113	-0.003141
0.230000	5.299168	2.040375	724.185948	-2.407055	39.334749	-0.359831	-0.056564	-0.003152
0.240000	5.408544	1.743961	722.117220	-2.541405	39.290038	-0.397395	-0.056662	-0.003338
0.250000	5.350294	2.209653	724.184290	-2.514509	39.078956	-0.339055	-0.056197	-0.003293
0.260000	5.401773	2.125008	723.604934	-1.964343	39.349680	-0.320769	-0.056631	-0.002575
0.270000	5.639097	2.311145	724.597420	-2.205046	39.162469	-0.311863	-0.056285	-0.002886
0.280000	5.180109	1.811615	723.192186	-1.965647	39.448183	-0.344387	-0.056805	-0.002578
0.290000	5.477360	2.040039	721.786082	-1.993073	39.571591	-0.304429	-0.057094	-0.002619
0.300000	5.375196	1.930110	724.765841	-1.590964	39.805450	-0.338976	-0.057195	-0.002082
0.310000	4.866846	2.031507	722.120901	-2.224378	39.919706	-0.259317	-0.057570	-0.002921
0.320000	4.780342	2.158570	724.267877	-1.337204	39.737216	-0.321535	-0.057137	-0.001751
0.330000	4.763535	2.039978	721.542948	-1.877213	40.262397	-0.310731	-0.058110	-0.002467
0.340000	4.645006	2.124552	721.789742	-1.434545	40.286644	-0.275108	-0.058126	-0.001885
0.350000	4.628287	2.361387	722.372524	-1.760491	40.593784	-0.217657	-0.058521	-0.002311
0.360000	4.406888	2.293710	720.303141	-1.177928	40.831421	-0.248708	-0.059033	-0.001551
0.370000	4.295923	2.268306	719.228111	-1.259156	40.875553	-0.271335	-0.059185	-0.001660
0.380000	3.582629	2.327476	721.549331	-1.295549	41.358119	-0.251131	-0.059691	-0.001703
0.390000	3.395549	2.699883	726.600244	-1.364017	41.697451	-0.224847	-0.059763	-0.001780
0.400000	3.208469	2.411953	725.443207	-0.787224	42.145272	-0.231636	-0.060501	-0.001029
0.410000	2.954338	2.767465	721.307348	-1.002485	42.331292	-0.177408	-0.061116	-0.001318
0.420000	2.596279	3.021340	722.961441	-0.320045	42.533027	-0.197116	-0.061267	-0.000420
0.430000	1.950387	2.784348	722.467707	-0.076914	42.978767	-0.237995	-0.061952	-0.000101
0.440000	1.737435	3.283843	722.634747	0.064412	43.266641	-0.234177	-0.062352	0.000085
0.450000	1.413343	3.131436	722.226020	-0.242801	43.777465	-0.292465	-0.063124	-0.000319
0.460000	1.056166	3.359932	723.966074	-0.204436	44.068467	-0.284541	-0.063391	-0.000268
0.470000	0.818225	3.757947	725.125686	-0.223941	44.216203	-0.287258	-0.063502	-0.000293
0.480000	0.571483	3.563133	723.141563	-0.380012	44.422705	-0.299645	-0.063973	-0.000498
0.490000	0.639416	3.605408	721.983827	0.180689	44.823279	-0.284841	-0.064654	0.000237
0.500000	0.409569	3.419042	722.067282	-0.025537	44.802293	-0.299167	-0.064616	-0.000034
0.510000	-0.616813	2.665660	720.831974	-0.634367	45.199615	-0.315214	-0.065301	-0.000835
0.520000	0.443712	3.452953	722.565696	0.402969	45.260993	-0.295900	-0.065232	0.000529
0.530000	0.485773	3.486672	718.426159	0.368641	45.063965	-0.284247	-0.065323	0.000487
0.540000	0.384314	3.503735	723.726987	0.267857	45.556276	-0.287902	-0.065553	0.000351
0.550000	0.502756	3.596816	720.994343	0.611056	45.551887	-0.290416	-0.065795	0.000804
0.560000	-0.159060	3.435890	724.970735	0.287234	45.878087	-0.268186	-0.065902	0.000376
0.570000	-0.211157	3.622111	723.561804	0.890653	45.925268	-0.295551	-0.066099	0.001167
0.580000	-0.262283	3.461161	719.176153	0.849343	45.971964	-0.294171	-0.066569	0.001120
0.590000	-0.473823	3.706660	725.056148	0.389857	46.290197	-0.248437	-0.066487	0.000510
0.600000	-0.627907	3.655890	724.889984	0.359061	46.203386	-0.304037	-0.066377	0.000470
0.610000	-0.466081	3.393327	720.258474	0.107541	46.468809	-0.278280	-0.067188	0.000142
0.620000	-0.414955	3.173242	725.556263	0.183500	46.670559	-0.290937	-0.066987	0.000240
0.630000	-0.729013	3.299982	721.500543	0.061860	46.565728	-0.235255	-0.067212	0.000081
0.640000	-0.999950	3.198237	722.000763	-0.529311	46.771280	-0.183830	-0.067462	-0.000695
0.650000	-1.052223	2.859681	725.724624	0.098642	47.037529	-0.270563	-0.067498	0.000129
0.660000	-1.094549	2.961209	722.746398	-0.402573	46.975594	-0.247235	-0.067687	-0.000528
0.670000	-0.823082	2.741029	720.844028	-0.408415	47.137445	-0.258842	-0.068099	-0.000537
0.680000	-0.857401	2.622461	726.141776	-0.271237	47.374882	-0.272950	-0.067943	-0.000354
0.690000	-0.901933	2.521077	723.823173	-0.531023	47.094405	-0.394380	-0.067757	-0.000696
