Time (s)	Fx	Fy	Fz	Mx	My	Mz	COPx	COPy
0.000000	2.337749	0.196138	716.477327	4.074257	11.536020	-0.468644	-0.016768	0.005393
0.010000	2.712174	0.526259	717.638341	3.859633	11.772614	-0.423675	-0.017084	0.005101
0.020000	2.558884	0.365248	715.073199	3.453995	11.615898	-0.418297	-0.016917	0.004581
0.030000	2.763035	0.399135	714.493395	3.899283	11.774696	-0.405316	-0.017162	0.005176
0.040000	2.848304	0.678425	716.315925	3.455287	11.818674	-0.374922	-0.017182	0.004575
0.050000	2.577543	0.695429	715.404405	3.669740	11.755949	-0.350280	-0.017113	0.004865
0.060000	2.874088	0.356608	716.482983	3.503941	12.018527	-0.347790	-0.017469	0.004638
0.070000	2.449419	0.314382	713.998364	3.671633	11.858911	-0.371070	-0.017297	0.004877
0.080000	2.441060	0.170459	712.096313	3.662296	12.027122	-0.367435	-0.017589	0.004877
0.090000	2.134833	0.221133	716.150824	4.073039	12.122216	-0.367310	-0.017628	0.005394
0.100000	1.845500	0.077246	713.338083	4.278880	12.346441	-0.399976	-0.018024	0.005689
0.110000	1.709458	0.212745	715.575081	3.957679	12.508940	-0.414100	-0.018205	0.005245
0.120000	1.113722	0.195970	713.009514	3.511932	12.271424	-0.496204	-0.017923	0.004671
0.130000	0.959815	0.246752	712.843286	4.171529	12.482632	-0.533983	-0.018236	0.005550
0.140000	0.686672	0.365344	714.747211	4.645363	12.777792	-0.599605	-0.018617	0.006164
0.150000	0.193805	0.450194	715.658242	4.392924	12.724397	-0.647789	-0.018516	0.005821
0.160000	0.175499	0.560182	714.499099	4.553389	12.723375	-0.685606	-0.018545	0.006044
0.170000	-0.419972	0.450170	714.252050	4.310550	12.724479	-0.739586	-0.018553	0.005723
0.180000	-0.684227	0.374189	713.920654	4.579033	12.791263	-0.817599	-0.018659	0.006083
0.190000	-0.725935	0.611168	714.418257	4.369165	12.809074	-0.774251	-0.018672	0.005800
0.200000	-1.006290	0.458761	714.835192	4.128189	13.083657	-0.779529	-0.019061	0.005477
0.210000	-0.938534	0.763551	714.833194	4.345176	12.947930	-0.784582	-0.018863	0.005765
0.220000	-1.261833	0.577546	716.070498	5.065545	12.743968	-0.856067	-0.018534	0.006709
0.230000	-1.473991	0.611361	716.239511	4.534492	12.912417	-0.842679	-0.018774	0.006004
0.240000	-1.143303	0.797534	715.243474	4.922785	12.749504	-0.844127	-0.018563	0.006527
0.250000	-1.406499	0.950085	717.311775	4.832450	12.607962	-0.870098	-0.018304	0.006389
0.260000	-0.667773	1.237955	716.896903	4.835217	12.514264	-0.867320	-0.018179	0.006396
0.270000	-0.642872	1.017787	717.144631	5.127193	12.565155	-0.883215	-0.018246	0.006780
0.280000	-0.413731	0.916246	713.832753	5.132535	12.377122	-0.896679	-0.018057	0.006819
0.290000	-0.116216	1.119495	717.886094	5.469723	12.322415	-0.891241	-0.017875	0.007226
0.300000	1.319792	2.812589	741.552044	5.285635	11.976979	-0.809046	-0.016820	0.006760
0.310000	0.182093	1.212576	718.133906	4.819793	11.969149	-0.838337	-0.017357	0.006365
0.320000	0.862040	1.246307	712.999841	5.513804	11.961661	-0.785618	-0.017471	0.007334
0.330000	0.641699	1.119471	715.150999	5.056389	11.633333	-0.799080	-0.016940	0.006705
0.340000	1.160966	1.186909	713.829113	4.325203	11.598364	-0.697046	-0.016921	0.005746
