Time (s)	Fx	Fy	Fz	Mx	My	Mz	COPx	COPy
0.000000	-0.658570	1.318981	531.203661	5.106575	15.723923	-0.258120	-0.030826	0.009117
0.010000	-0.353225	1.615227	531.119633	5.605324	15.828086	-0.250333	-0.031035	0.010009
0.020000	-0.549105	1.344361	528.470610	5.387097	15.599783	-0.289261	-0.030741	0.009667
0.030000	-0.651358	1.200474	528.140680	5.460372	15.753713	-0.313135	-0.031063	0.009805
0.040000	-0.463131	1.564625	531.863626	5.690553	15.733449	-0.267362	-0.030806	0.010147
0.050000	-0.420717	1.335913	530.708245	5.370896	15.973588	-0.251297	-0.031345	0.009598
0.060000	-0.267691	1.699944	531.284076	5.634453	15.693109	-0.233628	-0.030761	0.010058
0.070000	0.114563	1.369740	529.881222	4.939006	15.879964	-0.226834	-0.031210	0.008840
0.080000	0.250253	1.310450	528.555595	5.173706	15.806916	-0.229028	-0.031144	0.009283
0.090000	0.963724	1.479740	531.450816	5.479507	15.831666	-0.205251	-0.031023	0.009778
0.100000	1.269598	1.030991	526.322806	4.707359	15.865497	-0.199123	-0.031392	0.008482
0.110000	1.320901	1.302002	529.135804	4.396009	15.629878	-0.196467	-0.030761	0.007879
0.120000	1.609263	1.412062	527.062060	5.102393	15.395405	-0.203509	-0.030419	0.009181
0.130000	1.396575	1.242640	525.988628	4.729923	15.534043	-0.208314	-0.030756	0.008528
0.140000	1.311483	1.445841	529.465779	4.554097	15.629694	-0.214259	-0.030742	0.008157
0.150000	0.937499	1.047971	524.914834	4.524100	15.700639	-0.246087	-0.031149	0.008174
0.160000	0.775850	1.064926	530.461095	4.605375	15.902061	-0.262881	-0.031219	0.008234
0.170000	0.521102	0.971785	527.564877	4.560530	15.919321	-0.264914	-0.031424	0.008198
0.180000	0.138759	0.997236	525.663145	4.344366	16.029862	-0.285001	-0.031757	0.007838
0.190000	-0.056416	1.217333	537.913192	4.166815	16.140965	-0.273227	-0.031249	0.007346
0.200000	0.180996	1.124204	527.566387	4.387702	16.022163	-0.286185	-0.031627	0.007887
0.210000	0.384354	0.946406	531.210766	4.097899	16.270642	-0.303877	-0.031897	0.007316
0.220000	0.453345	1.022652	529.720143	4.259890	16.234105	-0.269100	-0.031915	0.007627
0.230000	0.309120	0.768644	528.479437	3.990943	16.177316	-0.267417	-0.031878	0.007162
0.240000	0.393684	0.311460	532.202105	4.293798	16.112285	-0.288666	-0.031528	0.007651
0.250000	-0.123202	0.226695	529.389447	3.669286	15.948029	-0.234983	-0.031372	0.006573
0.260000	-0.166145	-0.069683	528.978017	3.303059	16.055054	-0.249965	-0.031608	0.005922
0.270000	-0.487767	0.082652	530.135016	4.089716	16.238645	-0.199173	-0.031899	0.007316
0.280000	-0.530269	0.023301	527.158149	3.861203	16.454773	-0.187666	-0.032506	0.006946
0.290000	-0.819425	-0.069743	533.451187	3.269275	16.560584	-0.222239	-0.032329	0.005812
0.300000	-0.896247	0.099691	529.806173	4.254327	16.596510	-0.254491	-0.032622	0.007615
0.310000	-0.929507	0.336635	534.690895	3.596963	16.525782	-0.202641	-0.032187	0.006380
0.320000	-0.547782	0.404348	528.150617	3.941949	16.434252	-0.211182	-0.032405	0.007078
0.330000	-0.480202	0.209739	529.806576	3.719453	16.417743	-0.247606	-0.032271	0.006658
0.340000	-0.216565	0.590714	534.108497	3.799761	16.291900	-0.221396	-0.031766	0.006747
0.350000	0.097845	0.141906	530.802062	3.788788	16.783309	-0.203174	-0.032928	0.006769
0.360000	0.267942	0.539704	526.412584	3.819708	16.423587	-0.163559	-0.032491	0.006881
0.370000	0.327427	0.184192	528.401151	3.439441	16.525866	-0.181255	-0.032570	0.006173
