Time (s)	Fx	Fy	Fz	Mx	My	Mz	COPx	COPy
0.000000	1.149849	0.382728	441.931890	1.150234	4.196675	-0.000638	-0.009889	0.002468
0.010000	1.004830	0.078010	437.052373	0.056756	4.079690	-0.040105	-0.009721	0.000123
0.020000	0.953528	0.145832	443.838597	0.383532	4.236989	-0.068655	-0.009941	0.000820
0.030000	0.952822	0.289695	439.531977	0.641973	3.958418	-0.084892	-0.009379	0.001385
0.040000	0.841240	0.112029	438.869929	0.716751	3.992746	-0.151820	-0.009474	0.001549
0.050000	1.001477	0.154436	436.963286	1.095432	3.791786	-0.205909	-0.009037	0.002377
0.060000	1.036150	0.137409	436.304851	0.599988	4.011743	-0.163554	-0.009575	0.001304
0.070000	0.942257	0.306795	437.793350	0.856405	3.987605	-0.192547	-0.009485	0.001855
0.080000	1.035179	0.179851	438.787579	0.498366	3.952344	-0.220088	-0.009380	0.001077
0.090000	1.145791	0.247613	438.619566	1.355604	4.057156	-0.214641	-0.009633	0.002931
0.100000	1.111118	0.459250	437.376012	1.527614	3.866686	-0.238686	-0.009207	0.003312
0.110000	0.924656	0.281548	440.110125	1.188413	4.066487	-0.241317	-0.009622	0.002561
0.120000	1.051810	0.349394	442.592004	1.416466	4.072932	-0.268536	-0.009583	0.003035
0.130000	1.323453	0.450898	436.798841	1.247023	3.985901	-0.256109	-0.009503	0.002708
0.140000	1.085247	0.163112	439.285182	0.996008	4.272543	-0.285324	-0.010129	0.002150
0.150000	1.322659	0.806578	441.183006	2.106477	4.135499	-0.301032	-0.009762	0.004528
0.160000	0.880919	0.603365	436.053785	1.620468	4.113618	-0.307002	-0.009824	0.003524
0.170000	0.923597	0.781115	438.288444	1.264129	3.966856	-0.292546	-0.009425	0.002735
0.180000	1.144556	0.798022	437.709767	1.246733	4.066836	-0.280536	-0.009676	0.002701
0.190000	1.034121	0.264580	436.803264	1.123679	4.468564	-0.270506	-0.010654	0.002440
0.200000	0.924215	0.645471	437.877252	1.121586	4.254926	-0.237361	-0.010119	0.002429
0.210000	0.627053	0.349153	433.821720	1.219153	4.230265	-0.236459	-0.010155	0.002665
