Time (s)	Fx	Fy	Fz	Mx	My	Mz	COPx	COPy
0.000000	2.408247	2.556816	764.751520	10.973670	44.483515	-0.261796	-0.060575	0.013609
0.010000	2.306613	2.421424	770.218301	10.946445	45.055279	-0.270913	-0.060918	0.013478
0.020000	2.204625	2.523025	770.053515	10.345889	44.851577	-0.273928	-0.060656	0.012742
0.030000	1.975926	2.539872	768.148956	10.659756	44.850381	-0.238553	-0.060805	0.013161
0.040000	2.714298	3.047803	780.811580	10.749410	45.016439	-0.213094	-0.060040	0.013056
0.050000	2.264728	2.548284	767.155152	10.857960	44.884084	-0.220491	-0.060929	0.013423
0.060000	2.154117	2.269042	770.879307	11.119164	44.988468	-0.268701	-0.060776	0.013679
0.070000	2.086184	2.709150	767.402497	10.436392	44.567598	-0.227137	-0.060480	0.012898
0.080000	2.239386	2.505985	764.753859	11.009219	44.793249	-0.222732	-0.060997	0.013653
0.090000	2.078090	2.649944	770.300162	10.918798	44.935111	-0.222837	-0.060749	0.013443
0.100000	2.247392	2.480654	766.574114	11.142623	44.793845	-0.254072	-0.060853	0.013785
0.110000	2.375252	2.548224	769.390895	11.105993	45.157821	-0.202516	-0.061123	0.013690
0.120000	2.197060	2.734625	771.127865	10.682956	44.841538	-0.217836	-0.060558	0.013138
0.130000	2.154382	2.429848	769.223389	11.078634	44.869071	-0.241756	-0.060745	0.013659
0.140000	0.073276	-0.448757	707.157652	10.762223	44.960557	-0.430131	-0.066211	0.014433
0.150000	2.409571	2.429728	766.325471	11.393353	44.871167	-0.199084	-0.060978	0.014100
0.160000	2.324214	2.472183	766.242867	10.977528	44.698165	-0.237865	-0.060749	0.013587
0.170000	2.341373	2.531340	769.638623	10.990945	45.027072	-0.209616	-0.060926	0.013543
0.180000	2.350527	2.167201	768.729569	10.959018	45.156468	-0.186380	-0.061173	0.013520
0.190000	2.410277	2.582111	771.211640	11.269499	45.259112	-0.162849	-0.061115	0.013858
0.200000	2.392941	2.336659	769.390045	11.546550	45.238154	-0.199649	-0.061232	0.014233
0.210000	2.316913	2.573579	769.143548	10.624887	45.045646	-0.153964	-0.060990	0.013101
0.220000	2.536901	2.556719	768.559919	11.668283	45.006708	-0.191365	-0.060984	0.014398
0.230000	2.435531	2.506021	764.917580	11.472636	44.782874	-0.192352	-0.060970	0.014224
0.240000	2.655960	2.734469	767.734148	10.666911	44.773771	-0.170758	-0.060734	0.013177
0.250000	2.426731	2.446599	764.505025	11.260470	44.831999	-0.180939	-0.061070	0.013969
0.260000	2.283035	2.556635	771.295178	10.923366	45.163476	-0.149320	-0.060979	0.013431
0.270000	2.079060	2.683735	770.714459	11.099340	45.064280	-0.170392	-0.060891	0.013658
0.280000	2.214396	2.539752	766.409734	11.305365	45.010758	-0.184945	-0.061161	0.013990
0.290000	2.579932	2.649680	768.564403	10.637862	45.088006	-0.138522	-0.061094	0.013127
0.300000	2.571661	2.361906	765.004839	10.900466	45.077288	-0.156233	-0.061364	0.013513
0.310000	2.367510	2.539728	769.803960	10.725647	44.889280	-0.171331	-0.060727	0.013214
0.320000	2.571309	2.260221	768.649409	10.507693	45.296116	-0.161199	-0.061369	0.012965
0.330000	2.180342	2.472062	767.153473	11.391159	44.919874	-0.199332	-0.060978	0.014082
0.340000	2.341109	2.624457	766.820866	11.549339	44.808414	-0.211587	-0.060853	0.014284
0.350000	2.180871	2.522736	765.169497	10.991830	45.018921	-0.155803	-0.061271	0.013624
0.360000	2.206125	2.581966	767.901634	10.938875	45.149596	-0.155577	-0.061230	0.013510
0.370000	2.282065	2.785179	765.417504	10.829970	44.954378	-0.167217	-0.061163	0.013419
0.380000	2.154911	2.336479	764.261102	10.620279	45.087022	-0.184800	-0.061437	0.013179
0.390000	2.936051	3.326949	779.235337	11.513616	44.957704	-0.115331	-0.060083	0.014013
0.400000	2.028022	2.311004	764.507790	10.836499	44.991655	-0.156091	-0.061287	0.013443
0.410000	2.104138	2.378873	769.720635	11.444829	45.164872	-0.186148	-0.061106	0.014101
0.420000	2.087419	2.505781	768.316996	10.760334	45.273078	-0.156324	-0.061364	0.013282
0.430000	1.883885	2.336467	769.890627	10.983628	45.491865	-0.158559	-0.061535	0.013530
0.440000	2.266581	2.776611	770.220600	11.028444	45.430916	-0.091858	-0.061426	0.013579
0.450000	1.969419	2.531208	768.648541	11.156384	45.505842	-0.125887	-0.061653	0.013765
0.460000	2.249598	2.454915	772.126010	11.292051	45.777915	-0.110410	-0.061743	0.013870
0.470000	1.993968	2.573471	773.200316	11.401918	45.636728	-0.147452	-0.061467	0.013985
0.480000	2.104755	2.387273	769.312204	11.163263	45.711036	-0.149548	-0.061878	0.013762
0.490000	2.130539	2.539608	771.878728	11.006565	45.782105	-0.120525	-0.061768	0.013523
0.500000	2.130451	2.378693	767.576935	10.717112	45.841100	-0.122260	-0.062194	0.013241
0.510000	2.427260	2.641184	767.739297	11.399420	45.795957	-0.124304	-0.062120	0.014081
0.520000	2.571132	2.590450	766.084400	11.170282	45.743087	-0.154605	-0.062182	0.013828
0.530000	2.146728	2.522640	768.488669	10.759531	46.070525	-0.144662	-0.062431	0.013278
0.540000	2.272999	2.768116	770.057626	11.392706	45.967734	-0.163954	-0.062165	0.014031
0.550000	2.078619	2.548091	766.996240	10.956905	45.828831	-0.159952	-0.062225	0.013548
0.560000	2.198119	2.903675	765.755472	10.956545	45.923826	-0.115686	-0.062455	0.013569
0.570000	1.950936	2.759632	769.482774	10.681655	46.180491	-0.143277	-0.062499	0.013165
0.580000	1.764121	2.835901	767.659289	11.108393	46.032398	-0.153540	-0.062447	0.013723
0.590000	1.865667	2.979909	767.906721	11.250322	46.007560	-0.171726	-0.062393	0.013894
0.600000	1.789198	2.785203	764.429463	11.591276	45.963760	-0.186220	-0.062617	0.014380
0.610000	1.704282	2.945998	770.308118	11.235249	46.148992	-0.169936	-0.062390	0.013832
0.620000	1.619013	2.852857	768.900397	11.157193	45.995726	-0.187927	-0.062297	0.013761
0.630000	1.857308	2.446539	768.077709	10.945342	46.503552	-0.194004	-0.063052	0.013515
0.640000	1.934041	2.869764	769.896115	11.057051	46.289006	-0.145247	-0.062613	0.013620
0.650000	1.483501	2.844361	769.149317	11.372686	46.178014	-0.170763	-0.062523	0.014023
0.660000	1.738690	2.751316	768.902777	10.831172	46.140425	-0.170191	-0.062492	0.013359
0.670000	2.036117	2.675011	772.298237	11.215146	46.621917	-0.141035	-0.062867	0.013772
0.680000	1.747490	2.751136	768.160612	10.682390	46.408889	-0.126842	-0.062917	0.013188
0.690000	1.908257	2.742725	767.660181	11.112992	46.138585	-0.156165	-0.062591	0.013729
