Time (s)	Fx	Fy	Fz	Mx	My	Mz	COPx	COPy
0.000000	1.903993	0.052727	577.127522	3.776675	15.582448	-0.152713	-0.028118	0.006206
0.010000	2.039947	0.357481	578.282754	4.125754	15.350889	-0.136784	-0.027645	0.006766
0.020000	2.328397	0.349009	575.881545	4.242407	15.255193	-0.143447	-0.027587	0.006986
0.030000	2.099256	0.239081	580.102093	3.899584	15.055890	-0.165964	-0.027028	0.006375
0.040000	2.159183	0.298275	577.619428	3.698479	14.978994	-0.134730	-0.027006	0.006072
0.050000	2.404601	0.315218	575.712954	4.210975	14.841654	-0.164799	-0.026847	0.006937
0.060000	2.379259	0.399863	577.369043	3.974897	14.860493	-0.156597	-0.026804	0.006529
0.070000	2.337021	0.239057	577.782958	3.965992	14.868450	-0.159879	-0.026799	0.006510
0.080000	2.446927	0.357589	579.766637	4.125432	14.635643	-0.176194	-0.026289	0.006748
0.090000	2.651431	0.179731	574.555278	3.489424	14.634746	-0.141462	-0.026526	0.005760
0.100000	2.685662	0.374556	579.932228	3.859824	14.527876	-0.143871	-0.026088	0.006312
0.110000	3.050316	0.128925	577.035880	3.822477	14.535059	-0.144997	-0.026232	0.006282
0.120000	2.779114	0.289779	577.283758	3.665672	14.412832	-0.124204	-0.026000	0.006022
0.130000	2.617288	0.069659	576.868970	3.461131	14.176543	-0.148597	-0.025592	0.005690
0.140000	2.448250	0.213594	577.449330	3.735341	14.456648	-0.117351	-0.026072	0.006135
0.150000	2.371164	0.078107	578.774466	3.477046	14.433110	-0.141849	-0.025970	0.005697
0.160000	2.557979	-0.099739	577.286223	3.419694	14.580904	-0.134256	-0.026303	0.005618
0.170000	2.302967	-0.048909	575.712655	3.400861	14.419521	-0.150931	-0.026083	0.005602
0.180000	2.328397	0.128829	577.036625	3.458260	14.440807	-0.140541	-0.026062	0.005684
0.190000	2.243481	0.247325	574.304426	3.701024	14.426604	-0.132986	-0.026160	0.006112
0.200000	2.346086	0.188059	575.463569	4.034746	14.650212	-0.104282	-0.026512	0.006649
0.210000	2.260288	-0.099727	572.401650	3.238079	14.278092	-0.157489	-0.025977	0.005365
0.220000	2.252105	-0.032062	575.797728	3.350302	14.705161	-0.133418	-0.026596	0.005518
0.230000	2.260376	0.128865	579.188938	4.186019	14.874994	-0.147755	-0.026746	0.006854
0.240000	1.997004	0.103498	578.361446	4.187450	14.862215	-0.160659	-0.026761	0.006866
0.250000	1.725714	0.001897	580.268833	3.546744	15.037965	-0.148345	-0.026988	0.005797
0.260000	1.844773	0.052619	579.276919	3.379078	15.103076	-0.127662	-0.027152	0.005532
0.270000	1.563976	0.391452	589.866353	4.221830	15.031405	-0.175231	-0.026538	0.006788
0.280000	1.903729	0.306663	578.530546	3.813689	15.135756	-0.149872	-0.027245	0.006252
0.290000	1.367831	0.069623	577.703138	3.593587	15.010530	-0.196376	-0.027059	0.005899
0.300000	1.605684	0.433642	579.027385	3.807504	15.161245	-0.179862	-0.027268	0.006236
0.310000	1.835090	0.577457	574.889887	3.768095	15.211499	-0.151790	-0.027555	0.006216
0.320000	1.571365	0.552222	572.074340	4.166748	15.178782	-0.199378	-0.027631	0.006908
0.330000	1.393174	0.848552	578.861177	4.019311	15.170928	-0.193352	-0.027293	0.006585
0.340000	1.103930	0.653775	573.729383	3.963261	15.017353	-0.210122	-0.027259	0.006551
0.350000	1.307375	0.526807	575.718504	4.002299	15.404731	-0.228287	-0.027865	0.006593
0.360000	1.062045	1.110875	576.461330	4.288437	15.303776	-0.166847	-0.027647	0.007055
0.370000	1.086505	0.696037	576.380660	4.258858	15.533313	-0.213856	-0.028065	0.007007
0.380000	0.968328	0.840008	576.381105	4.152733	15.527587	-0.192927	-0.028055	0.006833
0.390000	0.875494	0.890863	577.787956	4.696268	15.771682	-0.179219	-0.028427	0.007708
0.400000	0.858246	0.882343	575.967425	4.696941	15.790505	-0.180527	-0.028551	0.007734
0.410000	0.637200	0.916206	578.946716	4.529383	15.700758	-0.192175	-0.028242	0.007420
0.420000	0.272281	0.492908	566.450214	4.733549	15.771205	-0.196148	-0.028995	0.007925
0.430000	0.670725	0.738408	577.376909	4.323209	15.910636	-0.210710	-0.028698	0.007101
0.440000	0.331149	0.713065	576.796445	4.407247	15.785030	-0.220039	-0.028500	0.007246
0.450000	0.908667	0.729924	576.631810	4.869979	16.130592	-0.198033	-0.029132	0.008010
0.460000	0.569091	0.831633	577.954185	5.129675	16.015180	-0.215068	-0.028857	0.008417
