Time (s)	Fx	Fy	Fz	Mx	My	Mz	COPx	COPy
0.000000	2.292655	1.522129	723.922046	-7.480642	36.779573	-0.345372	-0.052909	-0.009800
0.010000	2.573628	1.564464	719.371673	-7.928768	36.742750	-0.318982	-0.053191	-0.010453
0.020000	2.624313	1.716954	725.742556	-7.556412	36.736081	-0.339137	-0.052714	-0.009874
0.030000	2.759208	1.708459	718.372790	-6.876585	36.533308	-0.370440	-0.052961	-0.009078
0.040000	2.869996	1.827015	723.258637	-7.097877	36.807227	-0.356463	-0.052998	-0.009307
0.050000	2.724977	1.759433	724.087105	-7.127701	36.879750	-0.408695	-0.053041	-0.009335
0.060000	2.546168	1.742466	722.433824	-7.391442	36.990118	-0.421143	-0.053322	-0.009703
0.070000	2.749525	1.988049	724.500107	-7.122225	36.791605	-0.439845	-0.052884	-0.009323
0.080000	2.792116	1.886557	720.691965	-6.818923	36.773396	-0.455262	-0.053137	-0.008973
0.090000	2.715382	2.132104	722.759013	-6.549705	36.660764	-0.460266	-0.052823	-0.008594
0.100000	2.408979	1.861082	723.920301	-6.867620	36.804951	-0.479841	-0.052946	-0.008997
0.110000	2.723830	1.962646	720.032722	-7.054035	37.008318	-0.447103	-0.053526	-0.009291
0.120000	2.775132	2.123501	723.011375	-6.830446	37.031013	-0.425838	-0.053338	-0.008959
0.130000	2.834971	2.301311	721.853362	-6.541065	37.272243	-0.404604	-0.053772	-0.008594
0.140000	2.775397	2.394439	724.419776	-7.422966	36.961598	-0.409910	-0.053135	-0.009718
0.150000	2.656162	2.292875	722.101323	-6.921282	37.035154	-0.429611	-0.053411	-0.009090
0.160000	2.562622	2.487628	723.510065	-6.947356	37.259260	-0.430177	-0.053630	-0.009107
0.170000	2.765097	2.682309	721.603889	-6.608890	37.080102	-0.466405	-0.053513	-0.008686
0.180000	3.114003	2.944812	724.830315	-5.976614	37.266229	-0.434570	-0.053542	-0.007820
0.190000	3.071589	2.707797	721.025274	-6.626481	37.164227	-0.451704	-0.053677	-0.008716
0.200000	2.876414	2.724704	721.687683	-6.263153	37.353583	-0.438134	-0.053901	-0.008230
0.210000	2.715029	2.936293	718.376996	-6.537720	37.186527	-0.419211	-0.053908	-0.008631
0.220000	2.519590	3.097171	722.845444	-6.281290	37.237308	-0.419066	-0.053648	-0.008241
0.230000	2.273819	2.970156	719.042021	-6.572460	37.522953	-0.399239	-0.054345	-0.008669
0.240000	2.214686	3.114019	721.940449	-6.695472	37.689215	-0.370165	-0.054367	-0.008795
0.250000	2.494865	3.097075	721.276978	-6.198121	37.762287	-0.370831	-0.054522	-0.008150
0.260000	2.486947	3.334211	720.945944	-6.010900	37.861243	-0.350879	-0.054690	-0.007907
0.270000	2.732277	3.198772	723.261996	-5.839203	37.793844	-0.397842	-0.054418	-0.007657
0.280000	2.656162	3.088711	724.339213	-6.082252	37.839906	-0.391274	-0.054403	-0.007963
0.290000	2.851513	3.181792	724.504657	-5.821974	37.968547	-0.377236	-0.054576	-0.007621
0.300000	3.114620	3.452731	723.760940	-6.149433	37.991020	-0.376450	-0.054664	-0.008058
0.310000	2.996443	3.300360	721.609821	-6.141822	38.064561	-0.357950	-0.054933	-0.008072
0.320000	3.097990	3.410300	726.411727	-6.081577	38.348109	-0.346362	-0.054977	-0.007940
0.330000	2.809099	3.257954	723.103060	-6.504136	38.353673	-0.366432	-0.055236	-0.008530
0.340000	2.808746	3.266389	725.171854	-5.760229	38.701714	-0.370552	-0.055578	-0.007533
0.350000	2.740901	3.410132	719.379163	-6.362331	38.499141	-0.331094	-0.055733	-0.008388
0.360000	2.434850	3.333995	723.683296	-6.028391	38.743291	-0.354557	-0.055753	-0.007900
0.370000	2.596235	3.359410	725.421393	-6.112666	38.741319	-0.356294	-0.055616	-0.007991
0.380000	2.391643	2.741371	719.961776	-6.280780	38.949327	-0.411344	-0.056339	-0.008273
0.390000	2.476382	3.113790	722.278533	-6.133830	39.013436	-0.385341	-0.056250	-0.008054
0.400000	2.314645	2.808881	721.205056	-6.433398	39.154443	-0.392367	-0.056538	-0.008460
0.410000	2.324680	3.122094	722.698359	-6.415604	39.651751	-0.310305	-0.057138	-0.008419
0.420000	2.331981	3.189807	723.360940	-6.816317	39.552864	-0.352146	-0.056943	-0.008937
0.430000	1.515904	2.326185	707.554563	-6.623914	39.680843	-0.404966	-0.058403	-0.008878
0.440000	1.822131	2.630915	723.697589	-6.789590	40.263452	-0.364378	-0.057939	-0.008897
0.450000	1.507545	2.935728	723.116045	-6.523314	40.159170	-0.367471	-0.057835	-0.008555
0.460000	1.506486	2.588412	720.140073	-6.539473	40.595863	-0.388523	-0.058706	-0.008612
0.470000	1.463808	2.554513	721.462937	-6.339527	40.534446	-0.392677	-0.058510	-0.008333
0.480000	1.031221	2.334441	719.315262	-6.427946	40.990168	-0.387991	-0.059344	-0.008475
0.490000	1.031044	2.605355	720.143010	-6.739278	40.910885	-0.381650	-0.059161	-0.008875
0.500000	0.835252	2.359664	721.305213	-7.190989	41.139898	-0.381748	-0.059396	-0.009455
0.510000	0.733000	2.495139	721.637186	-6.866696	41.433124	-0.389198	-0.059792	-0.009024
0.520000	0.622300	2.579928	725.279397	-6.871370	41.547460	-0.417816	-0.059656	-0.008985
0.530000	0.298384	2.173382	716.424618	-6.900267	41.560683	-0.452904	-0.060413	-0.009134
0.540000	0.103651	2.495139	722.467678	-6.966482	41.780589	-0.420469	-0.060224	-0.009145
0.550000	0.443491	2.478268	721.310278	-6.832935	41.995362	-0.426525	-0.060631	-0.008984
0.560000	-0.092318	2.435969	721.973900	-7.360820	41.949867	-0.462408	-0.060510	-0.009669
0.570000	0.035100	2.435741	722.802668	-7.063059	42.254114	-0.422307	-0.060879	-0.009267
0.580000	-0.474661	2.342648	718.580950	-7.273192	42.000698	-0.438906	-0.060869	-0.009599
0.590000	-0.287316	2.325789	721.893063	-6.842589	42.447186	-0.432672	-0.061234	-0.008989
0.600000	-0.602079	2.317377	721.890958	-6.643590	42.253328	-0.462710	-0.060955	-0.008728
