Time (s)	Fx	Fy	Fz	Mx	My	Mz	COPx	COPy
0.000000	0.550378	4.731446	715.962859	20.592086	18.091894	0.184129	-0.026315	0.027276
0.010000	0.465285	4.104947	711.991165	20.589762	18.146877	0.165590	-0.026543	0.027426
0.020000	0.423577	4.130302	717.125338	19.925782	18.244703	0.200403	-0.026495	0.026351
0.030000	-0.060312	4.172661	715.052444	20.205167	17.873746	0.186322	-0.026031	0.026798
0.040000	-0.145669	3.783238	713.317027	20.306990	18.217036	0.158966	-0.026596	0.026999
0.050000	-0.536283	3.977968	717.787197	20.065210	18.258405	0.149970	-0.026490	0.026511
0.060000	-1.198893	3.800134	718.039134	19.461494	18.395323	0.127659	-0.026679	0.025704
0.070000	-1.581060	3.681614	722.013380	19.300970	18.556262	0.113459	-0.026765	0.025352
0.080000	-1.912718	3.571470	719.200830	19.008609	18.579764	0.099368	-0.026903	0.025066
0.090000	-2.115987	3.300507	718.207770	18.955357	18.569969	0.117485	-0.026926	0.025030
0.100000	-1.980121	2.851650	716.553300	18.281740	18.377668	0.139471	-0.026709	0.024196
0.110000	-1.529581	2.445152	712.414826	17.804979	18.140650	0.183368	-0.026518	0.023702
0.120000	-1.317334	1.869412	715.478423	17.219666	18.081640	0.184676	-0.026318	0.022825
0.130000	-0.986206	1.462961	710.925694	17.090471	17.948172	0.196458	-0.026291	0.022799
0.140000	-1.080011	0.794068	711.260194	16.195672	17.963450	0.179986	-0.026301	0.021595
0.150000	-1.208929	0.438629	712.585398	15.748830	17.917750	0.088709	-0.026186	0.020960
0.160000	-1.124895	0.370987	708.527424	15.470921	17.474477	0.040702	-0.025684	0.020708
0.170000	-0.718974	-0.103056	712.751545	15.344182	17.861901	-0.033068	-0.026098	0.020417
0.180000	-0.558560	-0.230000	714.409396	14.654939	17.889547	-0.075161	-0.026078	0.019454
0.190000	-0.747052	-0.348352	712.092175	13.833215	17.522633	-0.174152	-0.025626	0.018423
0.200000	-0.094213	-0.619086	716.229184	14.044176	17.534637	-0.235802	-0.025495	0.018596
0.210000	0.167660	-1.016836	713.498023	13.186483	17.119664	-0.316441	-0.024987	0.017527
0.220000	0.667562	-1.008340	714.243253	13.136002	17.213405	-0.354653	-0.025098	0.017442
0.230000	0.989272	-1.431470	715.898913	12.494150	16.970657	-0.423359	-0.024687	0.016551
0.240000	1.302359	-1.744599	714.739326	12.674632	16.965806	-0.484992	-0.024720	0.016818
0.250000	1.342920	-2.083143	719.209135	12.127416	16.829185	-0.580234	-0.024368	0.015992
0.260000	1.154428	-2.430123	716.148004	11.498948	16.650874	-0.676211	-0.024213	0.015228
0.270000	1.373534	-2.675454	717.390028	10.831781	16.452941	-0.772928	-0.023884	0.014319
