Time (s)	Fx	Fy	Fz	Mx	My	Mz	COPx	COPy
0.000000	-9.104546	-1.432492	437.865145	2.407195	-6.310219	0.937943	0.014411	0.005498
0.010000	-7.491265	-1.305756	433.313102	2.418454	-6.322738	1.022365	0.014592	0.005581
0.020000	-7.665270	-3.167550	432.978197	2.805670	-6.668722	0.701648	0.015402	0.006480
0.030000	-8.978228	-2.152082	433.477801	2.392715	-6.513217	0.923071	0.015025	0.005520
0.040000	-9.232120	-2.194424	438.610558	2.029929	-6.445436	0.968606	0.014695	0.004628
0.050000	-7.745994	-1.898287	435.381905	2.363731	-6.364485	1.020436	0.014618	0.005429
0.060000	-8.004071	-3.464299	434.804282	1.727508	-6.545953	0.903823	0.015055	0.003973
0.070000	-7.448183	-1.009393	433.310236	2.370761	-6.658178	1.019988	0.015366	0.005471
0.080000	-8.466678	-2.279043	438.194705	2.149889	-6.617288	1.013508	0.015101	0.004906
0.090000	-7.745994	-1.728854	438.192387	2.321776	-6.741433	0.979656	0.015385	0.005299
0.100000	-8.468353	-1.601860	439.268680	2.166418	-6.765998	0.945739	0.015403	0.004932
0.110000	-7.322702	-2.744774	431.739620	1.842080	-6.761728	0.985838	0.015662	0.004267
0.120000	-8.851073	-2.659993	439.187473	1.836703	-6.794422	0.936086	0.015470	0.004182
0.130000	-6.983901	-1.898319	432.896669	1.834100	-6.884242	0.961342	0.015903	0.004237
0.140000	-7.451532	-2.194552	433.228322	1.781988	-6.847029	0.923620	0.015805	0.004113
0.150000	-8.216136	-3.083317	436.042860	1.658874	-6.863638	0.893772	0.015741	0.003804
0.160000	-9.404869	-3.548790	438.028492	1.647723	-6.980020	0.860963	0.015935	0.003762
0.170000	-7.026565	-1.517369	434.219383	1.980745	-6.925667	0.939263	0.015950	0.004562
0.180000	-8.087725	-2.914174	434.387367	1.717022	-6.857567	0.983896	0.015787	0.003953
0.190000	-8.639009	-2.321418	437.115901	2.167765	-6.893422	0.927578	0.015770	0.004959
0.200000	-8.513528	-2.279204	436.372194	1.818393	-6.937232	0.893828	0.015898	0.004167
0.210000	-8.595926	-1.348001	439.185574	2.137199	-6.761963	0.963602	0.015397	0.004866
0.220000	-8.938076	-3.125691	436.868933	1.792713	-6.957544	0.895634	0.015926	0.004104
0.230000	-7.577849	-1.475092	431.237731	2.508587	-6.992043	0.967113	0.016214	0.005817
0.240000	-9.785497	-2.744709	439.352462	1.674853	-6.938407	0.940410	0.015792	0.003812
0.250000	-9.913070	-3.506544	437.779335	1.761214	-7.014182	0.931929	0.016022	0.004023
0.260000	-8.893737	-2.786987	436.122264	2.223349	-6.965343	0.927673	0.015971	0.005098
0.270000	-8.512273	-2.025184	437.279892	2.219548	-7.026273	0.913022	0.016068	0.005076
0.280000	-6.814501	-1.983100	432.313444	2.118838	-7.143930	0.983937	0.016525	0.004901
0.290000	-6.261124	-0.967212	435.208191	2.516415	-7.087149	1.003731	0.016285	0.005782
0.300000	-7.705423	-1.982939	438.601865	2.150958	-7.265414	0.953427	0.016565	0.004904
0.310000	-7.068392	-0.924838	436.116050	2.629596	-7.314244	0.955567	0.016771	0.006030
0.320000	-6.983483	-2.025410	434.794495	2.186355	-7.270768	1.012038	0.016722	0.005028
0.330000	-6.984739	-2.321611	434.380348	2.150948	-7.340386	0.941602	0.016899	0.004952
0.340000	-6.858421	-2.152436	432.890037	2.175979	-7.393997	0.937543	0.017081	0.005027
0.350000	-7.535604	-1.771454	432.723921	2.356330	-7.406638	0.993525	0.017116	0.005445
0.360000	-5.371877	-1.348355	429.659678	2.650614	-7.412185	0.987829	0.017251	0.006169
0.370000	-7.366622	-1.729080	434.790438	2.436385	-7.606679	0.944173	0.017495	0.005604
0.380000	-8.685440	-3.930158	434.877730	1.632053	-7.580838	0.920171	0.017432	0.003753
0.390000	-8.131645	-2.533385	436.696281	1.994713	-7.553839	0.962754	0.017298	0.004568
0.400000	-8.853166	-3.252814	437.605138	2.177916	-7.677666	0.941342	0.017545	0.004977
0.410000	-9.280644	-3.337498	437.936372	1.817711	-7.837182	0.840410	0.017896	0.004151
0.420000	-8.513528	-1.940758	437.603528	2.180714	-7.780334	0.935926	0.017779	0.004983
0.430000	-7.966012	-4.649876	432.475214	1.484210	-7.893880	0.905004	0.018253	0.003432
0.440000	-8.470446	-1.813892	437.435545	2.438936	-7.897185	0.990428	0.018053	0.005576
0.450000	-7.922510	-3.422536	434.955525	1.656192	-8.010453	0.958329	0.018417	0.003808
0.460000	-7.072160	-2.237506	432.552783	2.112200	-8.019252	1.014615	0.018539	0.004883
0.470000	-9.108313	-2.194907	441.406006	2.092066	-8.264856	0.985167	0.018724	0.004740
0.480000	-6.139829	-2.026021	429.155439	2.184775	-8.441416	0.994958	0.019670	0.005091
0.490000	-8.134575	-3.168709	434.867686	1.791945	-8.467061	1.002543	0.019470	0.004121
0.500000	-8.258800	-1.348613	441.401756	2.381653	-8.501748	1.057541	0.019261	0.005396
0.510000	-7.326051	-1.560291	437.511504	2.309603	-8.606386	1.033368	0.019671	0.005279
0.520000	-8.472539	-2.322061	439.250297	2.097596	-8.651290	1.006563	0.019696	0.004775
0.530000	-7.878172	-2.068363	438.172845	2.101840	-8.791582	1.086838	0.020064	0.004797
0.540000	-6.432617	-0.121305	436.513134	2.703338	-8.920743	1.111698	0.020436	0.006193
0.550000	-7.666526	-2.110544	437.590844	2.318834	-8.989901	1.014888	0.020544	0.005299
0.560000	-5.499031	0.301890	436.925865	2.864616	-8.865738	1.111113	0.020291	0.006556
0.570000	-7.836345	-3.380420	435.441349	1.817588	-9.038182	1.079975	0.020756	0.004174
0.580000	-7.878591	-2.322029	439.660066	2.212855	-9.009805	0.982665	0.020493	0.005033
0.590000	-6.607041	-2.025828	435.273591	1.917879	-9.157843	0.929973	0.021039	0.004406
0.600000	-6.479467	-2.279816	435.772100	1.698455	-9.032587	0.957250	0.020728	0.003898
0.610000	-8.136249	-3.549369	438.173038	1.511002	-9.121908	0.865946	0.020818	0.003448
0.620000	-6.734615	-1.983293	435.437260	2.379191	-9.163878	0.846757	0.021045	0.005464
0.630000	-7.203082	-2.533546	439.000109	1.627656	-9.057155	0.812587	0.020631	0.003708
0.640000	-7.710865	-2.702850	439.827695	1.668794	-9.061583	0.880885	0.020603	0.003794
0.650000	-6.948772	-3.803422	434.449385	1.474356	-9.095256	0.856868	0.020935	0.003394
0.660000	-7.116917	-2.575856	436.765254	1.845248	-9.023487	0.856124	0.020660	0.004225
0.670000	-7.881939	-3.845731	436.271993	1.178325	-9.040614	0.887195	0.020722	0.002701
0.680000	-5.883845	-0.925289	433.949395	2.229697	-9.004218	0.945211	0.020749	0.005138
0.690000	-7.285898	-2.533514	438.504111	1.528558	-9.061261	0.888645	0.020664	0.003486
0.700000	-6.266984	-1.475381	437.592582	1.759183	-9.022319	0.872951	0.020618	0.004020
0.710000	-6.435966	-2.025731	436.683822	1.603796	-8.941224	0.954941	0.020475	0.003673
0.720000	-6.054501	-1.348516	435.935994	2.216557	-8.952569	0.908883	0.020536	0.005085
0.730000	-7.201826	-1.983261	441.068751	1.551147	-9.086596	0.838236	0.020601	0.003517
0.740000	-5.586871	-0.756146	436.431444	1.790546	-9.227926	0.991896	0.021144	0.004103
0.750000	-5.971266	-2.364532	436.598011	1.536643	-9.266226	0.934294	0.021224	0.003520
0.760000	-6.139829	-2.025828	436.348628	1.801672	-9.264329	0.943074	0.021231	0.004129
0.770000	-6.734615	-2.406842	438.005055	1.257111	-9.411991	0.965649	0.021488	0.002870
0.780000	-7.370808	-2.195293	439.080704	1.561028	-9.273420	1.003650	0.021120	0.003555
0.790000	-7.413053	-2.406810	439.162909	1.455322	-9.404569	0.983370	0.021415	0.003314
0.800000	-6.352312	-2.025957	433.947110	1.652898	-9.542888	0.977703	0.021991	0.003809
0.810000	-6.225576	-2.491655	433.203597	1.526395	-9.447514	0.999978	0.021808	0.003524
0.820000	-7.286736	-3.338013	436.680603	1.467434	-9.398861	0.971625	0.021523	0.003360
0.830000	-7.457810	-4.142255	435.937830	1.125622	-9.357607	0.958086	0.021465	0.002582
0.840000	-6.820361	-2.703269	436.266842	1.453413	-9.346645	0.980130	0.021424	0.003331
0.850000	-5.629535	-1.348903	435.273141	1.818786	-9.150466	1.056107	0.021022	0.004178
0.860000	-6.904015	-2.618552	433.618001	2.045729	-9.172202	0.998296	0.021153	0.004718
0.870000	-6.012256	-0.713836	436.844304	2.168840	-9.138872	0.954608	0.020920	0.004965
0.880000	-5.758364	-1.856782	432.543286	1.860629	-9.087679	0.995816	0.021010	0.004302
0.890000	-6.010163	-0.756243	435.687512	2.138328	-8.980181	1.065921	0.020612	0.004908
0.900000	-7.411798	-1.898866	440.075500	1.778860	-8.997399	1.006022	0.020445	0.004042
0.910000	-7.075508	-3.380323	433.292047	1.321728	-9.002126	0.925590	0.020776	0.003050
0.920000	-8.431549	-2.237442	439.830109	1.547325	-8.857908	0.967446	0.020139	0.003518
0.930000	-7.923348	-3.676492	436.851290	1.484666	-8.893567	0.939431	0.020358	0.003399
0.940000	-7.838438	-2.956870	439.830367	1.648266	-8.789802	0.895884	0.019985	0.003748
0.950000	-7.837601	-2.660540	437.431102	1.617961	-8.740432	0.909052	0.019981	0.003699
0.960000	-7.411379	-1.390890	440.573977	2.019728	-8.679723	0.987227	0.019701	0.004584
0.970000	-6.774767	-1.687124	435.442733	2.299508	-8.590121	0.968220	0.019727	0.005281
0.980000	-8.517714	-3.718673	438.840496	1.222154	-8.723538	0.895416	0.019879	0.002785
0.990000	-7.413472	-2.956967	436.108485	1.500430	-8.660863	0.947260	0.019859	0.003440
1.000000	-7.664852	-1.813989	439.831493	1.891746	-8.543279	0.995992	0.019424	0.004301
