Time (s)	Fx	Fy	Fz	Mx	My	Mz	COPx	COPy
0.000000	-6.537651	-6.897676	-22.169116	-0.095630	-0.177468	-0.142162	-0.008005	0.004314
0.010000	-5.220507	-5.712646	-24.571762	0.327554	-0.203726	0.037658	-0.008291	-0.013331
0.020000	-5.220926	-5.458754	-26.888661	0.216354	-0.223858	0.015316	-0.008325	-0.008046
0.030000	-6.835044	-6.389700	-21.094497	-0.070645	-0.300806	-0.201874	-0.014260	0.003349
0.040000	-5.856282	-5.416283	-23.663581	0.759772	-0.243884	0.164055	-0.010306	-0.032107
0.050000	-5.306254	-5.373974	-24.819117	0.162318	-0.158198	-0.038500	-0.006374	-0.006540
0.060000	-6.451905	-5.881724	-20.268424	0.301841	-0.242443	-0.039647	-0.011962	-0.014892
0.070000	-5.177006	-4.485048	-20.186670	0.516010	-0.151345	0.110867	-0.007497	-0.025562
0.080000	-4.668805	-5.416412	-27.302712	0.197868	-0.247081	0.007526	-0.009050	-0.007247
0.090000	-5.177843	-4.781442	-22.999503	0.266042	-0.211419	0.029703	-0.009192	-0.011567
0.100000	-5.985112	-5.670143	-22.171981	0.407796	-0.190432	0.003203	-0.008589	-0.018392
0.110000	-4.668805	-4.993153	-24.241816	0.524512	-0.177101	0.087227	-0.007306	-0.021637
0.120000	-5.050270	-4.866126	-23.497497	0.435469	-0.284684	0.067180	-0.012115	-0.018533
0.130000	-5.432153	-5.373941	-26.807873	0.493608	-0.343195	0.041427	-0.012802	-0.018413
0.140000	-5.219252	-4.866062	-22.669621	0.567837	-0.193411	0.135238	-0.008532	-0.025048
0.150000	-6.918279	-5.966344	-18.364352	0.255994	-0.195109	-0.017466	-0.010624	-0.013940
0.160000	-5.942029	-5.246915	-23.249112	0.536525	-0.277821	0.051902	-0.011950	-0.023077
0.170000	-4.712306	-5.374006	-24.821435	0.493225	-0.248782	-0.005412	-0.010023	-0.019871
0.180000	-5.473980	-5.458658	-25.566559	0.547126	-0.315253	0.105789	-0.012331	-0.021400
0.190000	-5.899365	-4.569668	-20.600463	0.371266	-0.275511	0.021025	-0.013374	-0.018022
0.200000	-4.328748	-4.823784	-23.828892	0.566020	-0.250135	0.071867	-0.010497	-0.023754
0.210000	-5.261916	-4.485177	-24.738393	0.467067	-0.225478	0.111174	-0.009114	-0.018880
0.220000	-6.068347	-5.035237	-20.103532	0.393491	-0.223951	0.067243	-0.011140	-0.019573
