Time (s)	Fx	Fy	Fz	Mx	My	Mz	COPx	COPy
0.000000	-5.387815	-4.950650	-19.856402	0.637719	-0.221057	0.194410	-0.011133	-0.032117
0.010000	-5.051107	-5.077805	-26.310330	0.380040	-0.245416	0.039420	-0.009328	-0.014445
0.020000	-5.052363	-6.432139	-23.743081	-0.002097	-0.235353	-0.131739	-0.009912	0.000088
0.030000	-5.475236	-5.204605	-20.435442	0.467848	-0.274955	0.029845	-0.013455	-0.022894
0.040000	-5.603228	-6.432203	-23.079422	-0.167631	-0.142589	-0.085744	-0.006178	0.007263
0.050000	-5.220507	-5.289289	-26.311038	0.323951	-0.372718	-0.025715	-0.014166	-0.012312
0.060000	-7.088517	-6.220299	-20.184545	0.069907	-0.263128	-0.124193	-0.013036	-0.003463
0.070000	-5.345988	-4.696726	-19.111407	0.509568	-0.248775	0.142605	-0.013017	-0.026663
0.080000	-5.773884	-6.008911	-25.067309	0.110210	-0.230404	-0.079462	-0.009191	-0.004397
0.090000	-5.435083	-6.686062	-25.480715	-0.006015	-0.263944	-0.174072	-0.010359	0.000236
0.100000	-6.750553	-6.601249	-18.859416	-0.110451	-0.226991	-0.249138	-0.012036	0.005857
0.110000	-6.027357	-5.839607	-22.418853	0.167899	-0.162812	0.003802	-0.007262	-0.007489
0.120000	-6.027357	-5.627833	-22.089004	0.356056	-0.182502	0.006007	-0.008262	-0.016119
0.130000	-6.283760	-6.516726	-22.998247	-0.014626	-0.304344	-0.187787	-0.013233	0.000636
0.140000	-5.220926	-5.797233	-24.654900	0.281937	-0.273266	-0.026416	-0.011084	-0.011435
0.150000	-6.025683	-4.612010	-20.516810	0.356722	-0.172310	0.089263	-0.008398	-0.017387
0.160000	-4.923952	-5.754923	-26.559295	0.462257	-0.308871	-0.006212	-0.011629	-0.017405
0.170000	-5.094190	-5.670239	-23.579895	0.325287	-0.336555	-0.062953	-0.014273	-0.013795
0.180000	-4.794704	-5.120179	-25.897052	0.464678	-0.242942	0.135242	-0.009381	-0.017943
0.190000	-4.925208	-5.924291	-25.646831	-0.042702	-0.299009	-0.132877	-0.011659	0.001665
0.200000	-5.898528	-4.823656	-20.103596	0.515725	-0.156188	0.133795	-0.007769	-0.025653
0.210000	-5.773466	-6.559068	-24.902674	0.202800	-0.309814	-0.092589	-0.012441	-0.008144
0.220000	-6.452323	-6.432139	-22.500543	-0.151264	-0.213028	-0.130736	-0.009468	0.006723
0.230000	-6.154093	-5.331503	-18.944712	0.275212	-0.267715	-0.020495	-0.014131	-0.014527
0.240000	-5.264846	-5.924195	-23.743886	0.072715	-0.285215	-0.141455	-0.012012	-0.003062
0.250000	-4.710632	-5.374070	-25.730904	0.377639	-0.219085	0.066435	-0.008514	-0.014676
0.260000	-8.319495	-6.304823	-15.797779	-0.075582	-0.291969	-0.257333	-0.018482	0.004784
0.270000	-5.348081	-5.670304	-24.157937	0.242679	-0.239594	-0.000780	-0.009918	-0.010046
0.280000	-5.774721	-6.643752	-24.488591	0.057821	-0.339627	-0.177294	-0.013869	-0.002361
0.290000	-6.196339	-5.543245	-24.075120	0.418545	-0.170992	0.077810	-0.007102	-0.017385
0.300000	-6.028613	-5.924066	-20.598435	0.072316	-0.222237	-0.153571	-0.010789	-0.003511
0.310000	-5.136854	-6.051221	-26.061172	0.178482	-0.259470	-0.070642	-0.009956	-0.006849
0.320000	-6.492894	-4.992927	-17.785988	0.358044	-0.204357	0.082555	-0.011490	-0.020131
0.330000	-6.539326	-6.559068	-23.162786	-0.178059	-0.276929	-0.255374	-0.011956	0.007687
0.340000	-5.179936	-6.347487	-26.144246	0.143090	-0.331088	-0.128189	-0.012664	-0.005473
0.350000	-5.771373	-4.866030	-23.248951	0.419024	-0.309409	0.066087	-0.013309	-0.018023
0.360000	-6.366158	-5.289257	-21.177893	0.356110	-0.069494	0.088812	-0.003281	-0.016815
0.370000	-6.285434	-7.447800	-24.238757	-0.118579	-0.294710	-0.317216	-0.012159	0.004892
0.380000	-6.280830	-5.754891	-22.917330	0.494706	-0.234487	0.108143	-0.010232	-0.021587
0.390000	-6.747204	-5.627800	-18.943810	0.157108	-0.256509	0.000651	-0.013541	-0.008293
0.400000	-7.045853	-5.712452	-18.942780	-0.037331	-0.251054	-0.128423	-0.013253	0.001971
0.410000	-5.432572	-5.289257	-24.988292	0.720902	-0.342944	0.067196	-0.013724	-0.028850
0.420000	-6.407985	-5.162167	-18.116804	0.366257	-0.180475	0.067114	-0.009962	-0.020216
0.430000	-6.067928	-4.738971	-21.594519	0.710350	-0.223989	0.177055	-0.010373	-0.032895
0.440000	-6.197595	-5.712420	-22.172593	0.442907	-0.260209	-0.025352	-0.011736	-0.019975
0.450000	-7.341152	-5.670143	-16.294163	0.125685	-0.105969	0.062125	-0.006503	-0.007713
0.460000	-5.220926	-5.289289	-22.834288	0.356562	-0.213445	0.000038	-0.009348	-0.015615
0.470000	-5.306254	-5.670271	-25.481585	0.110506	-0.257632	-0.068175	-0.010111	-0.004337
0.480000	-5.687300	-5.585619	-24.407867	0.354442	-0.404838	-0.001839	-0.016586	-0.014522
0.490000	-5.389489	-4.739036	-24.574209	0.743898	-0.251350	0.128304	-0.010228	-0.030271
0.500000	-5.687300	-4.908308	-21.428468	0.652385	-0.185909	0.108277	-0.008676	-0.030445
0.510000	-6.791961	-5.924034	-20.102469	0.270758	-0.219029	-0.060835	-0.010896	-0.013469
0.520000	-5.643381	-4.908372	-23.084412	0.784972	-0.223668	0.201849	-0.009689	-0.034004
0.530000	-6.793217	-6.939986	-21.175929	-0.126977	-0.169701	-0.194385	-0.008014	0.005996
0.540000	-4.966198	-5.585716	-24.902577	0.189096	-0.231294	-0.000239	-0.009288	-0.007593
0.550000	-5.856282	-4.696662	-19.194095	0.658481	-0.183850	0.162341	-0.009578	-0.034306
0.560000	-7.257917	-6.093402	-19.521948	-0.002476	-0.231469	-0.098619	-0.011857	0.000127
0.570000	-4.883381	-5.924259	-26.723897	0.238705	-0.306970	-0.115627	-0.011487	-0.008932
0.580000	-6.409241	-5.077547	-21.347197	0.710019	-0.369462	0.073497	-0.017307	-0.033261
0.590000	-6.918279	-6.601378	-20.265977	0.005608	-0.145797	-0.050353	-0.007194	-0.000277
0.600000	-6.071277	-6.770682	-24.570087	-0.018742	-0.244671	-0.160895	-0.009958	0.000763
0.610000	-7.004863	-6.685965	-21.590656	0.075998	-0.189790	-0.127215	-0.008790	-0.003520
0.620000	-5.730802	-6.135776	-22.419980	0.215145	-0.267721	-0.077925	-0.011941	-0.009596
0.630000	-6.919535	-6.347358	-20.845403	-0.188569	-0.255187	-0.216348	-0.012242	0.009046
0.640000	-6.069184	-5.839479	-19.771332	0.134322	-0.243941	-0.044947	-0.012338	-0.006794
0.650000	-5.348500	-5.585619	-24.489332	0.238589	-0.279343	-0.037017	-0.011407	-0.009743
0.660000	-7.259173	-6.982360	-21.341433	-0.157992	-0.211966	-0.163892	-0.009932	0.007403
0.670000	-5.262334	-4.865965	-23.415518	0.617516	-0.304770	0.065476	-0.013016	-0.026372
0.680000	-5.262334	-5.670432	-25.150383	0.176651	-0.195881	0.069211	-0.007788	-0.007024
0.690000	-5.687719	-6.093499	-23.330286	0.163613	-0.295564	-0.056209	-0.012669	-0.007013
0.700000	-5.179518	-6.135937	-27.881011	-0.115064	-0.321362	-0.125887	-0.011526	0.004127
0.710000	-6.578641	-6.178022	-21.096815	0.514701	-0.248554	0.052778	-0.011782	-0.024397
0.720000	-5.814455	-4.992959	-20.682314	0.275808	-0.221830	0.010067	-0.010726	-0.013335
0.730000	-5.049851	-5.120147	-27.221280	0.398693	-0.314949	0.084573	-0.011570	-0.014646
0.740000	-6.960943	-6.389603	-19.357088	0.111070	-0.256935	-0.103901	-0.013273	-0.005738
0.750000	-5.941192	-5.119953	-20.267845	0.331542	-0.118634	0.083731	-0.005853	-0.016358
0.760000	-5.220089	-5.162328	-27.139332	0.549666	-0.352892	0.045591	-0.013003	-0.020253
0.770000	-6.028613	-6.135873	-25.398446	-0.016073	-0.322127	-0.136577	-0.012683	0.000633
0.780000	-5.391582	-6.262899	-23.329674	0.204813	-0.182012	-0.032107	-0.007802	-0.008779
0.790000	-4.881707	-5.162360	-24.654965	0.251399	-0.256952	-0.037486	-0.010422	-0.010197
0.800000	-6.579897	-6.770617	-20.929186	0.113105	-0.228923	-0.114194	-0.010938	-0.005404
0.810000	-6.240677	-6.474416	-23.246729	0.132303	-0.252613	-0.101798	-0.010867	-0.005691
0.820000	-6.662713	-5.500871	-19.273756	0.117972	-0.133318	0.021962	-0.006917	-0.006121
0.830000	-5.983856	-5.289225	-21.014288	0.620947	-0.170302	0.131781	-0.008104	-0.029549
0.840000	-5.855864	-4.992895	-20.103950	0.490729	-0.213725	0.098037	-0.010631	-0.024410
0.850000	-5.813200	-5.204638	-22.007411	0.650175	-0.162238	0.185647	-0.007372	-0.029543
0.860000	-6.666481	-7.066947	-22.748960	-0.236369	-0.332714	-0.301080	-0.014625	0.010390
0.870000	-6.577385	-5.331503	-19.110892	0.407634	-0.307897	0.070371	-0.016111	-0.021330
0.880000	-5.474817	-4.823656	-21.511317	0.499400	-0.265132	0.054057	-0.012325	-0.023216
