Time (s)	Fx	Fy	Fz	Mx	My	Mz	COPx	COPy
0.000000	-5.179099	-5.627994	-24.241107	0.422619	-0.181766	0.021105	-0.007498	-0.017434
0.010000	-6.664388	-6.305080	-21.674213	0.041159	-0.282700	-0.113163	-0.013043	-0.001899
0.020000	-6.537233	-6.220364	-21.011841	0.070110	-0.216934	-0.114675	-0.010324	-0.003337
0.030000	-5.558053	-4.400525	-22.586032	0.462701	-0.140138	0.181425	-0.006205	-0.020486
0.040000	-5.433828	-4.950585	-25.981124	0.638534	-0.343097	-0.020048	-0.013206	-0.024577
0.050000	-5.686045	-5.077676	-23.498302	0.809727	-0.235701	0.193985	-0.010031	-0.034459
0.060000	-6.961362	-6.559036	-21.507581	-0.012782	-0.197671	-0.099791	-0.009191	0.000594
0.070000	-5.517481	-5.247044	-25.896408	0.272188	-0.297535	0.016234	-0.011489	-0.010511
0.080000	-7.088935	-6.305048	-20.598048	-0.041775	-0.293024	-0.158229	-0.014226	0.002028
0.090000	-6.241933	-6.982263	-23.080967	-0.008773	-0.312301	-0.235047	-0.013531	0.000380
0.100000	-6.238166	-5.924163	-20.268521	0.337011	-0.232195	0.065684	-0.011456	-0.016627
0.110000	-7.045853	-6.474384	-19.769271	-0.099907	-0.171720	-0.110322	-0.008686	0.005054
0.120000	-5.348081	-5.247012	-26.724187	0.305442	-0.309372	-0.008062	-0.011576	-0.011429
0.130000	-6.662295	-5.331535	-18.115902	0.175910	-0.192767	0.034008	-0.010641	-0.009710
0.140000	-5.349755	-6.262803	-24.902191	0.023069	-0.309356	-0.159331	-0.012423	-0.000926
0.150000	-5.558890	-5.035334	-23.912288	0.791305	-0.279353	0.160665	-0.011682	-0.033092
0.160000	-7.045434	-6.135809	-20.183644	-0.066629	-0.201448	-0.075850	-0.009981	0.003301
0.170000	-6.452323	-5.924034	-20.764390	0.039278	-0.322072	-0.167115	-0.015511	-0.001892
0.180000	-6.579478	-6.262738	-20.266235	-0.076900	-0.189109	-0.131983	-0.009331	0.003795
0.190000	-5.262753	-6.093627	-25.647765	0.064645	-0.374750	-0.036638	-0.014611	-0.002520
0.200000	-5.434246	-6.686094	-21.839073	-0.106031	-0.223692	-0.154277	-0.010243	0.004855
0.210000	-5.391164	-6.008943	-25.232072	0.044055	-0.152479	-0.040508	-0.006043	-0.001746
0.220000	-6.833369	-5.331406	-18.282373	0.275117	-0.260522	-0.038841	-0.014250	-0.015048
0.230000	-6.834207	-6.812927	-20.598402	-0.116667	-0.380142	-0.228482	-0.018455	0.005664
0.240000	-4.880032	-4.358086	-22.836542	0.708830	-0.256509	0.111555	-0.011232	-0.031039
0.250000	-5.942448	-5.839446	-20.599948	0.564567	-0.138493	0.073965	-0.006723	-0.027406
0.260000	-7.894529	-6.347358	-17.535381	0.009456	-0.202228	-0.086520	-0.011533	-0.000539
0.270000	-5.178681	-5.839607	-25.895571	0.102245	-0.301264	-0.062564	-0.011634	-0.003948
0.280000	-5.092934	-4.866030	-21.345619	0.468372	-0.246817	0.049018	-0.011563	-0.021942
0.290000	-4.628234	-5.712581	-25.151381	0.145528	-0.304471	-0.131585	-0.012106	-0.005786
0.300000	-4.583058	-5.035398	-23.414874	0.493374	-0.272242	0.069365	-0.011627	-0.021071
0.310000	-7.087261	-5.585555	-19.025822	0.072373	-0.223208	-0.009595	-0.011732	-0.003804
0.320000	-6.452323	-6.178022	-21.839942	0.167470	-0.232788	-0.093638	-0.010659	-0.007668
0.330000	-4.880869	-5.289418	-24.737846	0.340378	-0.247036	0.040241	-0.009986	-0.013759
0.340000	-5.264427	-6.008879	-24.902803	0.110112	-0.325078	-0.114434	-0.013054	-0.004422
0.350000	-5.094190	-5.881917	-25.978420	0.219955	-0.227593	-0.045449	-0.008761	-0.008467
0.360000	-7.300581	-5.754794	-18.859319	-0.051914	-0.173862	-0.107147	-0.009219	0.002753
0.370000	-7.216509	-6.601249	-19.605699	0.071610	-0.338757	-0.175858	-0.017278	-0.003653
0.380000	-4.414495	-5.670400	-25.316370	0.309111	-0.155204	0.035284	-0.006131	-0.012210
0.390000	-7.597136	-6.177957	-18.777887	0.117294	-0.277434	-0.083096	-0.014775	-0.006246
0.400000	-5.644218	-5.204638	-20.020168	0.285840	-0.193705	0.048706	-0.009676	-0.014278
0.410000	-6.921209	-6.770617	-20.182517	-0.069034	-0.096279	-0.199930	-0.004770	0.003420
0.420000	-5.220507	-5.289225	-25.401891	0.704279	-0.302955	0.046279	-0.011926	-0.027725
0.430000	-5.941192	-5.458561	-22.503827	0.662382	-0.148549	0.155371	-0.006601	-0.029434
0.440000	-6.579478	-6.643623	-20.928896	-0.058540	-0.268628	-0.167475	-0.012835	0.002797
0.450000	-7.215672	-6.262642	-19.274432	0.121404	-0.259166	-0.092967	-0.013446	-0.006299
0.460000	-6.282923	-6.051157	-22.087168	-0.119925	-0.234657	-0.156933	-0.010624	0.005430
0.470000	-6.919535	-6.939921	-22.335940	0.038640	-0.275167	-0.149548	-0.012319	-0.001730
0.480000	-6.452323	-6.559133	-22.998151	0.086731	-0.252842	-0.069154	-0.010994	-0.003771
0.490000	-4.456740	-4.908533	-26.310813	0.470966	-0.196891	0.067605	-0.007483	-0.017900
0.500000	-5.136854	-6.220557	-25.398414	0.087249	-0.219699	-0.071571	-0.008650	-0.003435
0.510000	-5.306254	-5.500871	-24.573533	0.615148	-0.267327	0.008650	-0.010879	-0.025033
0.520000	-6.750134	-7.320935	-23.245827	-0.224145	-0.376493	-0.251082	-0.016196	0.009642
0.530000	-5.942029	-5.585555	-22.336745	0.337579	-0.128809	0.045242	-0.005767	-0.015113
0.540000	-5.603647	-5.754859	-23.246987	0.097662	-0.241850	-0.099283	-0.010403	-0.004201
0.550000	-5.813618	-4.865998	-19.027110	0.302538	-0.181856	0.071049	-0.009558	-0.015900
0.560000	-6.622142	-5.797040	-19.027142	0.314121	-0.240530	-0.056643	-0.012641	-0.016509
0.570000	-6.493731	-6.008750	-22.503215	0.523410	-0.195012	0.074267	-0.008666	-0.023259
0.580000	-6.663132	-5.035205	-21.841359	0.443340	-0.222869	0.060702	-0.010204	-0.020298
0.590000	-4.797634	-5.458658	-25.400829	0.480867	-0.282762	-0.032190	-0.011132	-0.018931
0.600000	-4.541231	-4.569796	-27.470309	0.554383	-0.300481	0.042471	-0.010938	-0.020181
0.610000	-4.540813	-4.739036	-23.580797	0.677670	-0.210567	0.085661	-0.008930	-0.028738
0.620000	-4.285666	-4.696887	-25.897406	0.675995	-0.138993	0.157244	-0.005367	-0.026103
0.630000	-6.409659	-5.416187	-23.415035	0.544566	-0.339961	0.011825	-0.014519	-0.023257
0.640000	-5.221345	-5.543277	-24.572341	0.319308	-0.263301	-0.030407	-0.010715	-0.012995
0.650000	-5.049851	-4.231060	-23.829117	0.570574	-0.284698	0.063988	-0.011947	-0.023944
0.660000	-5.177006	-4.865998	-22.505630	0.766291	-0.270736	0.134990	-0.012030	-0.034049
0.670000	-5.814455	-5.881917	-24.240077	0.236306	-0.192472	0.031654	-0.007940	-0.009749
0.680000	-5.263171	-4.908372	-26.890786	0.388425	-0.384716	-0.012733	-0.014307	-0.014445
0.690000	-5.435502	-7.278754	-25.645511	-0.076830	-0.224274	-0.159790	-0.008745	0.002996
0.700000	-5.941610	-5.416219	-23.332411	0.594348	-0.327479	0.069798	-0.014035	-0.025473
0.710000	-4.879614	-5.120018	-24.573597	0.596803	-0.246817	0.113450	-0.010044	-0.024286
0.720000	-5.985112	-5.543277	-22.170436	0.070801	-0.170656	-0.046186	-0.007697	-0.003193
0.730000	-5.728709	-4.569635	-18.781204	0.602610	-0.306770	0.108963	-0.016334	-0.032086
