Time (s)	Fx	Fy	Fz	Mx	My	Mz	COPx	COPy
0.000000	-8.623940	-1.727888	429.278147	0.357660	5.300210	1.211867	-0.012347	0.000833
0.010000	-10.492786	-3.801747	433.669966	-0.651719	5.339696	1.138080	-0.012313	-0.001503
0.020000	-8.241638	-2.024347	429.528786	-0.008603	5.407833	1.279816	-0.012590	-0.000020
0.030000	-9.135071	-3.378713	429.198260	-0.175202	5.305270	1.169550	-0.012361	-0.000408
0.040000	-10.915659	-2.955164	435.736419	-0.146970	5.349718	1.183675	-0.012277	-0.000337
0.050000	-7.603351	-1.050705	429.940293	0.325026	5.369152	1.300576	-0.012488	0.000756
0.060000	-8.069726	-0.965957	433.415335	0.452788	5.347202	1.293632	-0.012337	0.001045
0.070000	-9.601446	-2.658963	432.342262	-0.243431	5.203836	1.139938	-0.012036	-0.000563
0.080000	-9.515280	-2.828299	431.764381	-0.417132	5.277341	1.202355	-0.012223	-0.000966
0.090000	-9.471779	-1.981844	432.176468	0.055018	5.349165	1.264771	-0.012377	0.000127
0.100000	-10.066564	-2.616653	434.081506	-0.295441	5.350576	1.222170	-0.012326	-0.000681
0.110000	-9.683425	-1.685514	434.245754	-0.009276	5.388947	1.279809	-0.012410	-0.000021
0.120000	-8.410620	-2.616749	431.101753	-0.261801	5.350229	1.260802	-0.012411	-0.000607
0.130000	-9.176061	-3.124661	430.439188	-0.204173	5.253802	1.202708	-0.012206	-0.000474
0.140000	-10.322549	-3.590166	433.171779	-0.562855	5.228812	1.171574	-0.012071	-0.001299
0.150000	-10.067401	-3.039977	429.529913	-0.257792	5.320177	1.202332	-0.012386	-0.000600
0.160000	-11.170388	-2.997570	436.813517	-0.393390	5.387262	1.214512	-0.012333	-0.000901
0.170000	-9.303216	-2.151148	430.191641	-0.201624	5.416714	1.217010	-0.012591	-0.000469
0.180000	-10.875088	-2.997603	433.917547	-0.641574	5.371456	1.154426	-0.012379	-0.001479
0.190000	-10.874670	-3.167035	430.441700	-0.467474	5.430718	1.204930	-0.012617	-0.001086
0.200000	-10.747515	-4.352194	429.284748	-0.873579	5.376927	1.202282	-0.012525	-0.002035
0.210000	-9.261808	-2.108967	426.548873	0.193845	5.438322	1.211935	-0.012750	0.000454
0.220000	-9.008753	-3.167196	425.724378	-0.648787	5.370733	1.174573	-0.012616	-0.001524
0.230000	-10.492786	-4.140548	431.352875	-0.933576	5.260211	1.202303	-0.012195	-0.002164
0.240000	-10.409551	-4.690770	430.938889	-0.989860	5.194629	1.124555	-0.012054	-0.002297
0.250000	-8.284302	-2.108967	429.280369	-0.451795	5.217207	1.269538	-0.012153	-0.001052
0.260000	-10.069076	-3.463204	432.179752	-0.867018	5.260843	1.133920	-0.012173	-0.002006
0.270000	-8.706756	-1.304532	434.409906	-0.193234	5.197532	1.282983	-0.011965	-0.000445
0.280000	-9.386032	-1.558520	436.148796	-0.462594	5.155127	1.295752	-0.011820	-0.001061
0.290000	-9.557107	-2.532162	434.413834	-0.862205	5.255793	1.287194	-0.012099	-0.001985
0.300000	-10.278629	-3.463236	432.675460	-0.668366	5.230944	1.250216	-0.012090	-0.001545
0.310000	-8.920495	-3.802134	427.379162	-0.882807	5.136497	1.324736	-0.012019	-0.002066
0.320000	-8.880761	-3.717385	429.116249	-0.837623	5.089015	1.184436	-0.011859	-0.001952
0.330000	-10.917752	-4.733047	433.422289	-1.153374	5.150475	1.165205	-0.011883	-0.002661
0.340000	-9.172294	-1.685675	432.092815	-0.273991	5.135229	1.405523	-0.011885	-0.000634
0.350000	-8.030410	-2.997828	427.873357	-0.690120	5.040421	1.235495	-0.011780	-0.001613
0.360000	-10.281140	-3.632637	430.440959	-0.875223	5.121374	1.182483	-0.011898	-0.002033
0.370000	-9.726508	-2.278303	429.115670	-0.642214	5.147923	1.333364	-0.011997	-0.001497
0.380000	-8.708431	-3.421120	423.984490	-0.652640	5.076944	1.290750	-0.011974	-0.001539
