Time (s)	Fx	Fy	Fz	Mx	My	Mz	COPx	COPy
0.000000	-6.239840	-5.966473	-20.516327	0.123925	-0.281989	-0.087494	-0.013745	-0.006040
0.010000	-6.536395	-6.008815	-20.184094	0.059743	-0.177029	-0.046272	-0.008771	-0.002960
0.020000	-6.071277	-6.262835	-23.908006	-0.109462	-0.264447	-0.165617	-0.011061	0.004578
0.030000	-6.621724	-6.516597	-20.019459	0.150453	-0.280493	-0.112132	-0.014011	-0.007515
0.040000	-7.300162	-7.024670	-20.347828	-0.089850	-0.114523	-0.058256	-0.005628	0.004416
0.050000	-5.944540	-6.686094	-24.652389	-0.204870	-0.268402	-0.216071	-0.010887	0.008310
0.060000	-5.730802	-6.770682	-24.570023	-0.084982	-0.248181	-0.142754	-0.010101	0.003459
0.070000	-4.880869	-5.289386	-23.496209	0.389687	-0.157428	0.061256	-0.006700	-0.016585
0.080000	-5.434246	-6.220460	-24.571343	0.186508	-0.253772	-0.097664	-0.010328	-0.007590
0.090000	-5.898528	-4.696726	-20.517228	0.526209	-0.126420	0.157526	-0.006162	-0.025647
0.100000	-6.367832	-6.643623	-21.342882	-0.074930	-0.308225	-0.207362	-0.014442	0.003511
0.110000	-6.280411	-5.712452	-21.013870	0.674447	-0.124983	0.180467	-0.005948	-0.032095
0.120000	-6.111429	-5.373941	-21.840425	0.228080	-0.216367	0.020117	-0.009907	-0.010443
0.130000	-6.537651	-6.601281	-19.770559	0.104738	-0.206869	-0.128748	-0.010463	-0.005298
0.140000	-5.221345	-5.712613	-25.400281	0.327610	-0.323010	-0.033994	-0.012717	-0.012898
0.150000	-6.279155	-4.781281	-17.952330	0.513376	-0.213943	0.186357	-0.011917	-0.028597
0.160000	-7.469981	-6.093402	-18.693847	-0.035718	-0.181958	-0.090752	-0.009734	0.001911
0.170000	-5.942029	-5.119825	-22.505341	0.612926	-0.347182	0.024764	-0.015427	-0.027235
