Time (s)	Fx	Fy	Fz	Mx	My	Mz	COPx	COPy
0.000000	-6.579060	-6.220364	-21.178376	0.235563	-0.258631	-0.049622	-0.012212	-0.011123
0.010000	-6.963036	-7.532420	-19.934550	-0.247629	-0.247275	-0.318739	-0.012404	0.012422
0.020000	-5.264009	-7.321064	-26.804685	-0.107719	-0.315499	-0.124160	-0.011770	0.004019
0.030000	-6.579897	-6.305080	-19.521208	-0.157723	-0.198990	-0.177913	-0.010194	0.008080
0.040000	-5.815711	-5.627768	-20.683183	0.537863	-0.201941	0.006058	-0.009764	-0.026005
0.050000	-5.558890	-4.781346	-23.001821	0.795393	-0.229524	0.169879	-0.009979	-0.034580
0.060000	-5.264846	-5.585523	-25.068371	0.255282	-0.245626	-0.107862	-0.009798	-0.010183
0.070000	-5.813618	-4.188654	-19.359857	0.600944	-0.221515	0.116987	-0.011442	-0.031041
0.080000	-5.390326	-5.120018	-25.317819	0.514315	-0.261567	0.051523	-0.010331	-0.020314
0.090000	-6.704959	-5.585458	-19.111311	0.452944	-0.353753	0.062889	-0.018510	-0.023700
0.100000	-4.414076	-5.839736	-25.148998	-0.179209	-0.175129	-0.028826	-0.006964	0.007126
0.110000	-5.432572	-4.485016	-21.843034	0.416957	-0.382314	-0.007014	-0.017503	-0.019089
0.120000	-5.474817	-5.416316	-25.979514	0.396198	-0.285561	0.040868	-0.010992	-0.015250
0.130000	-5.304998	-5.881917	-25.068693	0.203346	-0.327034	-0.011523	-0.013045	-0.008112
0.140000	-6.410078	-6.897676	-24.984524	0.169428	-0.251007	-0.075955	-0.010047	-0.006781
0.150000	-6.407985	-4.950585	-21.179213	0.306849	-0.270188	0.033904	-0.012757	-0.014488
0.160000	-5.221763	-5.754827	-24.241622	0.362506	-0.283139	-0.070356	-0.011680	-0.014954
0.170000	-5.262753	-5.120114	-23.579219	0.398164	-0.205580	0.078238	-0.008719	-0.016886
0.180000	-7.684557	-7.574730	-18.526990	-0.328505	-0.232126	-0.367267	-0.012529	0.017731
0.190000	-5.731220	-6.051124	-21.177603	0.095139	-0.198136	-0.107502	-0.009356	-0.004492
0.200000	-6.239003	-5.670143	-21.179084	0.209062	-0.321720	-0.049011	-0.015190	-0.009871
0.210000	-5.473980	-5.077644	-21.758929	0.495119	-0.195619	0.109451	-0.008990	-0.022755
0.220000	-5.731220	-6.474448	-26.474160	0.083098	-0.258309	-0.101482	-0.009757	-0.003139
0.230000	-5.771373	-4.781346	-20.600882	0.480697	-0.269340	0.088821	-0.013074	-0.023334
0.240000	-4.795960	-4.992992	-23.415196	0.557476	-0.282422	0.034223	-0.012061	-0.023808
0.250000	-6.666062	-6.855173	-21.011906	0.166821	-0.203265	-0.170587	-0.009674	-0.007939
0.260000	-6.832951	-5.797136	-21.095785	0.297916	-0.240970	0.027293	-0.011423	-0.014122
0.270000	-6.794054	-6.982263	-21.921278	-0.306861	-0.338703	-0.350222	-0.015451	0.013998
0.280000	-6.322238	-4.950553	-20.518935	0.770067	-0.246034	0.206020	-0.011991	-0.037530
0.290000	-5.816548	-6.897676	-23.411332	-0.012756	-0.212479	-0.149276	-0.009076	0.000545
0.300000	-6.409241	-5.754859	-22.089390	0.296080	-0.300220	-0.013601	-0.013591	-0.013404
0.310000	-5.304998	-5.077708	-22.419401	0.164319	-0.167809	0.017937	-0.007485	-0.007329
0.320000	-6.239003	-5.373780	-18.945195	0.508902	-0.212151	0.057540	-0.011198	-0.026862
0.330000	-6.196339	-5.543245	-20.516133	0.567009	-0.021614	0.174868	-0.001053	-0.027637
0.340000	-6.454835	-6.559133	-22.416567	-0.492482	-0.262962	-0.342021	-0.011731	0.021970
0.350000	-6.367414	-5.839414	-20.930635	0.299875	-0.258310	-0.058035	-0.012341	-0.014327
0.360000	-4.669642	-5.374038	-25.317948	0.592529	-0.187153	0.043065	-0.007392	-0.023404
0.370000	-5.008024	-6.220557	-25.563661	0.120453	-0.173840	0.005449	-0.006800	-0.004712
0.380000	-7.129506	-5.543213	-19.854052	0.302059	-0.185522	0.089013	-0.009344	-0.015214
0.390000	-5.772210	-5.035237	-21.594358	0.691656	-0.229752	0.093705	-0.010639	-0.032029
0.400000	-6.282086	-6.093370	-21.345233	0.461057	-0.284028	-0.005506	-0.013306	-0.021600
0.410000	-5.815293	-6.178183	-22.500961	-0.196483	-0.261943	-0.140057	-0.011641	0.008732
0.420000	-6.368669	-6.813024	-22.501638	-0.000539	-0.288470	-0.180039	-0.012820	0.000024
0.430000	-5.942448	-4.950553	-20.849943	0.637663	-0.287424	0.048580	-0.013785	-0.030583
0.440000	-5.772629	-5.543116	-23.084606	0.815401	-0.249717	0.079219	-0.010817	-0.035322
0.450000	-7.086842	-5.839479	-18.197238	-0.114038	-0.203316	-0.073846	-0.011173	0.006267
0.460000	-6.072951	-6.601249	-21.260098	0.071893	-0.204617	-0.240406	-0.009624	-0.003382
0.470000	-7.809619	-6.643527	-17.619003	0.007206	-0.327312	-0.173256	-0.018577	-0.000409
0.480000	-5.690231	-6.601507	-23.825382	-0.043426	-0.256141	-0.171636	-0.010751	0.001823
0.490000	-5.985112	-6.389861	-22.336101	0.045306	-0.230296	-0.056017	-0.010310	-0.002028
0.500000	-6.748460	-5.627768	-19.192517	0.272920	-0.246616	-0.016557	-0.012850	-0.014220
0.510000	-5.179099	-5.416251	-23.663162	0.528199	-0.290925	-0.013534	-0.012294	-0.022322
0.520000	-5.772629	-6.432203	-24.487593	0.014662	-0.240259	-0.048146	-0.009811	-0.000599
0.530000	-5.944540	-6.516823	-23.990114	-0.279300	-0.268332	-0.225824	-0.011185	0.011642
0.540000	-5.095864	-6.940050	-25.563178	-0.142822	-0.277456	-0.213804	-0.010854	0.005587
0.550000	-5.645474	-5.077579	-22.256150	0.462028	-0.303199	-0.009845	-0.013623	-0.020760
0.560000	-5.474399	-5.077676	-20.849203	0.676962	-0.165682	0.161118	-0.007947	-0.032469
0.570000	-5.518319	-5.839607	-23.577319	0.002614	-0.218006	-0.068793	-0.009246	-0.000111
0.580000	-6.451486	-5.543084	-20.185962	0.368281	-0.232450	-0.004694	-0.011515	-0.018244
0.590000	-6.663969	-6.220428	-20.681992	0.268589	-0.262645	-0.019055	-0.012699	-0.012987
