Time (s)	Fx	Fy	Fz	Mx	My	Mz	COPx	COPy
0.000000	-4.965360	-6.009008	-24.239079	0.010796	-0.151789	0.022654	-0.006262	-0.000445
0.010000	-6.030706	-7.151696	-23.741181	-0.265344	-0.202952	-0.268343	-0.008549	0.011177
0.020000	-6.962617	-7.236251	-23.740924	-0.261182	-0.227870	-0.232339	-0.009598	0.011001
0.030000	-6.323912	-5.077579	-19.689771	0.312771	-0.285870	0.002160	-0.014519	-0.015885
0.040000	-6.495824	-7.193877	-21.921632	-0.197369	-0.324391	-0.274494	-0.014798	0.009003
0.050000	-6.322657	-5.500903	-23.828795	0.697690	-0.266312	0.170350	-0.011176	-0.029279
0.060000	-4.581802	-4.231253	-22.917588	0.355318	-0.212507	0.129290	-0.009273	-0.015504
0.070000	-5.562657	-6.474545	-24.486723	-0.148739	-0.210370	-0.166016	-0.008591	0.006074
0.080000	-6.239003	-4.950617	-21.097202	0.522013	-0.252119	0.075793	-0.011950	-0.024743
0.090000	-6.028613	-5.797104	-20.185769	0.181907	-0.291649	-0.135178	-0.014448	-0.009012
0.100000	-6.324750	-6.177990	-20.351434	0.398814	-0.226402	-0.023591	-0.011125	-0.019596
0.110000	-6.025683	-4.739036	-20.600206	0.445649	-0.222000	0.117757	-0.010777	-0.021633
0.120000	-6.070440	-5.966505	-20.929154	0.041310	-0.204427	-0.096131	-0.009768	-0.001974
0.130000	-5.857538	-5.373974	-24.903350	0.443688	-0.234296	0.039780	-0.009408	-0.017816
0.140000	-5.774303	-6.474448	-25.564305	0.132614	-0.290064	-0.125322	-0.011346	-0.005187
0.150000	-4.796378	-4.865998	-23.912481	0.650683	-0.322179	0.023149	-0.013473	-0.027211
0.160000	-4.498567	-5.628122	-26.640759	0.274167	-0.218979	0.065296	-0.008220	-0.010291
0.170000	-5.814037	-5.458658	-25.978903	0.232694	-0.301847	0.027291	-0.011619	-0.008957
0.180000	-4.541650	-5.458625	-26.393597	0.282518	-0.350117	-0.045006	-0.013265	-0.010704
0.190000	-5.729127	-4.865965	-23.497658	0.534835	-0.297427	0.066871	-0.012658	-0.022761
0.200000	-4.710632	-4.696790	-26.807487	0.394878	-0.288693	0.041517	-0.010769	-0.014730
0.210000	-5.983019	-4.696597	-17.539052	0.525765	-0.249322	0.124039	-0.014215	-0.029977
0.220000	-6.534721	-5.373909	-19.026530	0.393184	-0.117174	0.151848	-0.006158	-0.020665
