DA_OA	DM_AF	DM_OA	JO_OF	JO_OA	KJ_OF	KJ_OA
-0.012347	-0.011098	-0.013745	-0.01318	-0.012212	-0.011593	-0.006262
-0.012313	-0.008665	-0.008771	-0.011108	-0.012404	-0.011528	-0.008549
-0.01259	-0.013608	-0.011061	-0.011793	-0.01177	-0.012055	-0.009598
-0.012361	-0.009617	-0.014011	-0.01237	-0.010194	-0.014132	-0.014519
-0.012277	-0.011885	-0.005628	-0.004822	-0.009764	-0.010004	-0.014798
-0.012488	-0.007094	-0.010887	-0.010955	-0.009979	-0.009426	-0.011176
-0.012337	-0.014882	-0.010101	-0.013353	-0.009798	-0.010162	-0.009273
-0.012036	-0.011986	-0.0067	        -0.011415	-0.011442	-0.011014	-0.008591
-0.012223	-0.008057	-0.010328	-0.007857	-0.010331	-0.013859	-0.01195
-0.012377	-0.005407	-0.006162	-0.015526	-0.01851	-0.007797	-0.014448
-0.012326	-0.010346	-0.014442	-0.008844	-0.006964	-0.009508	-0.011125
-0.01241	-0.014308	-0.005948	-0.011086	-0.017503	-0.018887	-0.010777
-0.012411	-0.006526	-0.009907	-0.011203	-0.010992	-0.012261	-0.009768
-0.012206	-0.012393	-0.010463	-0.014319	-0.013045	-0.011828	-0.009408
-0.012071	-0.010774	-0.012717	-0.006678	-0.010047	-0.011091	-0.011346
-0.012386	-0.011644	-0.011917	-0.013908	-0.012757	-0.008779	-0.013473
-0.012333	-0.010322	-0.009734	-0.012002	-0.01168	-0.011013	-0.00822
-0.012591	-0.011112	-0.015427	-0.010403	-0.008719	-0.013749	-0.011619
-0.012379	-0.011268	-0.014701	-0.009855	-0.012529	-0.010267	-0.013265
-0.012617	-0.011382	-0.011338	-0.012719	-0.009356	-0.009958	-0.012658
-0.012525	-0.00918	-0.010883	-0.011875	-0.01519	-0.012375	-0.010769
-0.01275	-0.007686	-0.007866	-0.004934	-0.00899	-0.014574	-0.014215
-0.012616	-0.010422	-0.015706	-0.012767	-0.009757	-0.007046	-0.006158
-0.012195	-0.003624	-0.011462	-0.008812	-0.013074	-0.01118	-0.008696
-0.012054	-0.01125	-0.013333	-0.011387	-0.012061	-0.008548	-0.01478
-0.012153	-0.009059	-0.01008	-0.01188	-0.009674	-0.011667	-0.012648
-0.012173	-0.01383	-0.013885	-0.013259	-0.011423	-0.015802	-0.007635
-0.011965	-0.009251	-0.010041	-0.008364	-0.015451	-0.009149	-0.010094
-0.01182	-0.010193	-0.009562	-0.010611	-0.011991	-0.00752	-0.00974
-0.012099	-0.009009	-0.008707	-0.005101	-0.009076	-0.006589	-0.016231
-0.01209	-0.008652	-0.011609	-0.013551	-0.013591	-0.019206	-0.012505
-0.012019	-0.008278	-0.009774	-0.010351	-0.007485	-0.010357	-0.008872
-0.011859	-0.007308	-0.014919	-0.011984	-0.011198	-0.014832	-0.009438
-0.011883	-0.014516	-0.009205	-0.01237	-0.001053	-0.010819	-0.010086
-0.011885	-0.005793	-0.010593	-0.00975	-0.011731	-0.011395	-0.008799
-0.01178	-0.009919	-0.012297	-0.012387	-0.012341	-0.01453	-0.013046
-0.011898	-0.012905	-0.011442	-0.01102	-0.007392	-0.011778	-0.013884
-0.011997	-0.013899	-0.00902	-0.011304	-0.0068	        -0.008196	-0.010937
-0.011974	-0.008156	-0.007027	-0.010762	-0.009344	-0.01191	-0.018393
-0.012004	-0.007233	-0.017748	-0.010243	-0.010639	-0.009378	-0.008196
-0.011864	-0.015565	-0.013811	-0.009935	-0.013306	-0.010555	-0.009863
-0.012181	-0.00895	-0.011567	-0.007062	-0.011641	-0.007529	-0.01245
-0.011603	-0.009745	-0.011588	-0.0074	        -0.01282	-0.006589	-0.010954
-0.011768	-0.008887	-0.010526	-0.01184	-0.013785	-0.014565	-0.009272
-0.011802	-0.014424	-0.014042	-0.013026	-0.010817	-0.011854	-0.008524
-0.011854	-0.004846	-0.008905	-0.010416	-0.011173	-0.013432	-0.009104
-0.011442	-0.01054	-0.005282	-0.007508	-0.009624	-0.008573	-0.011853
-0.011802	-0.011963	-0.013847	-0.013375	-0.018577	-0.010931	-0.015057
-0.012072	-0.01302	-0.010931	-0.01102	-0.010751	-0.013599	-0.011749
-0.011697	-0.010664	-0.009923	-0.009017	-0.01031	-0.010635	-0.012209
-0.011659	-0.008381	-0.010643	-0.012664	-0.01285	-0.012626	-0.009149
-0.011943	-0.011944	-0.016392	-0.011251	-0.012294	-0.009742	-0.007393
-0.011726	-0.009363	-0.011657	-0.007512	-0.009811	-0.008239	-0.013587
-0.011433	-0.016837	-0.006848	-0.016106	-0.011185	-0.011983	-0.013217
-0.011674	-0.007579	-0.013761	-0.011394	-0.010854	-0.014284	-0.009664
-0.011787	-0.013663	-0.012297	-0.007467	-0.013623	-0.016354	-0.007347
-0.011357	-0.013655	-0.008099	-0.008204	-0.007947	-0.008877	-0.009713
-0.011481	-0.006356	-0.014193	-0.010852	-0.009246	-0.006956	-0.004952
-0.011558	-0.008775	-0.011552	-0.010219	-0.011515	-0.008693	-0.011427
-0.011637	-0.007334	-0.010468	-0.011679	-0.012699	-0.013157	-0.013785
-0.011435	-0.011156	-0.008297	-0.012251	-0.009509	-0.01247	-0.011054
-0.011528	-0.008305	-0.006889	-0.013255	-0.011687	-0.012089	-0.009305
-0.011625	-0.009728	-0.013709	-0.009559	-0.00961	-0.014304	-0.012427
-0.011362	-0.011935	-0.007866	-0.015695	-0.008337	-0.005915	-0.008741
-0.011481	-0.013469	-0.013164	-0.01197	-0.005877	-0.009599	-0.014204
-0.011577	-0.007119	-0.011092	-0.012722	-0.010539	-0.012433	-0.01035
-0.011505	-0.00928	-0.009166	-0.011856	-0.008099	-0.009629	-0.008255
-0.011659	-0.014878	-0.014307	-0.01573	-0.011353	-0.008862	-0.007266
-0.011809	-0.010573	-0.009698	-0.012703	-0.010129	-0.009037	-0.005638
-0.011646	-0.009078	-0.017249	-0.010444	-0.011941	-0.009654	-0.011961
-0.011548	-0.011476	-0.011829	-0.009694	-0.012998	-0.008676	-0.007939
-0.011629	-0.010471	-0.00684	-0.013044	-0.007388	-0.009904	-0.01319
-0.011619	-0.00779	-0.015057	-0.010792	-0.010988	-0.012269	-0.0086
-0.011478	-0.011376	-0.013271	-0.010429	-0.010459	-0.006489	-0.010134
-0.01166	-0.007558	-0.011737	-0.011168	-0.012036	-0.007458	-0.012297
-0.011818	-0.013001	-0.008684	-0.005454	-0.007429	-0.013649	-0.013963
-0.011599	-0.009187	-0.01131	-0.014498	-0.00386	-0.010205	-0.015025
-0.011681	-0.01316	-0.013253	-0.013125	-0.011092	-0.011182	-0.015888
-0.011707	-0.016667	-0.008905	-0.013685	-0.010667	-0.011271	-0.003492
-0.011715	-0.01251	-0.009554	-0.007686	-0.009331	-0.002449	-0.01374
-0.011634	-0.010734	-0.010918	-0.011622	-0.012592	-0.01469	-0.010661
-0.01173	-0.009451	-0.012632	-0.009147	-0.00946	-0.010178	-0.009955
-0.012037	-0.015362	-0.011138	-0.011931	-0.011262	-0.014422	-0.015037
-0.012006	-0.016127	-0.007996	-0.00814	-0.006642	-0.014844	-0.008207
-0.011958	-0.011279	-0.010017	-0.012761	-0.011826	-0.007636	-0.003859
-0.012102	-0.012117	-0.010456	-0.008899	-0.009927	-0.010294	-0.012225
-0.011953	-0.013064	-0.010856	-0.011711	-0.013604	-0.012725	-0.011346
-0.011862	-0.009401	-0.009055	-0.010403	-0.004078	-0.01018	-0.009703
-0.011875	-0.007504	-0.009021	-0.015563	-0.010049	-0.012641	-0.011128
-0.011879	-0.010075	-0.012176	-0.009827	-0.012063	-0.008515	-0.010515
-0.011617	-0.011569	-0.011209	-0.011885	-0.009049	-0.015173	-0.006917
-0.011588	-0.007856	-0.006618	-0.015269	-0.015106	-0.014321	-0.013639
-0.011772	-0.008412	-0.014871	-0.014663	-0.008598	-0.009064	-0.015653
-0.01171	-0.009235	-0.011658	-0.010942	-0.013364	-0.007954	-0.009994
-0.011498	-0.012802	-0.013053	-0.01213	-0.008434	-0.008943	-0.009382
-0.011579	-0.007405	-0.010944	-0.011641	-0.008079	-0.011098	-0.007754
-0.011391	-0.008347	-0.011974	-0.011284	-0.013869	-0.016659	-0.012774
-0.011154	-0.008894	-0.012019	-0.00923	-0.006393	-0.011253	-0.017003
-0.011132	-0.012026	-0.009241	-0.00858	-0.013637	-0.009472	-0.014001
-0.01117	-0.008462	-0.01383	-0.012653	-0.008324	-0.009707	-0.008533
-0.011241	-0.010157	-0.016225	-0.007222	-0.012643	-0.009621	-0.011441
